company_id,event_id,relationship_type,sponsor_tier,notes
CO005,E001,sponsor,RUBY SPONSORS,
CO011,E001,sponsor,DIAMOND SPONSORS,
CO012,E001,sponsor,RUBY SPONSORS,
CO013,E001,sponsor,RUBY SPONSORS,
CO014,E001,sponsor,RUBY SPONSORS,
CO015,E001,sponsor,RUBY SPONSORS,
CO016,E001,sponsor,RUBY SPONSORS,
CO017,E001,sponsor,RUBY SPONSORS,
CO018,E001,sponsor,RUBY SPONSORS,
CO019,E001,sponsor,RUBY SPONSORS,
CO002,E001,sponsor,RUBY SPONSORS,SG Forge = Forge sponsor
CO020,E001,sponsor,RUBY SPONSORS,
CO021,E001,sponsor,RUBY SPONSORS,
CO022,E001,sponsor,RUBY SPONSORS,
CO023,E001,sponsor,RUBY SPONSORS,
CO024,E001,sponsor,RUBY SPONSORS,
CO025,E001,sponsor,EMERALD SPONSORS,
CO026,E001,sponsor,EMERALD SPONSORS,
CO027,E001,sponsor,EMERALD SPONSORS,
CO028,E001,sponsor,EMERALD SPONSORS,
CO009,E001,sponsor,SAPPHIRE SPONSORS,BitGo
