record_type,name,title,company,title_secondary,company_secondary,is_virtual_speaker,twitter,linkedin,website,profile_url
Speaker,Changpeng  (CZ) Zhao,Founder of Binance,,,,Yes,,,,https://consensus.coindesk.com/agenda/speaker/-cz
Speaker,Brad Garlinghouse,CEO,Ripple,,,No,bgarlinghouse,,,https://consensus.coindesk.com/agenda/speaker/-brad-garlinghouse
Speaker,Michael Saylor,Founder & Executive Chairman,Strategy,,,No,saylor,,michael.com,https://consensus.coindesk.com/agenda/speaker/-michael-saylor
Speaker,Anatoly Yakovenko,Co-Founder of Solana,CEO of Solana Labs,,,No,toly,,,https://consensus.coindesk.com/agenda/speaker/-anatoly-yakovenko
Speaker,Raoul Pal,"Co-Founder & CEO (RV) , CEO/CIO (EXPAAM)",Real Vision/ EXPAAM,,,No,RaoulGMI,https://www.linkedin.com/in/raoul-pal-real-vision/,https://raoulpal.com/,https://consensus.coindesk.com/agenda/speaker/-raoul-pal
Speaker,Eric Trump,Co-Founder & Chief Strategy Officer,American Bitcoin,,,No,@erictrump,,www.abtc.com,https://consensus.coindesk.com/agenda/speaker/-eric-trump
Speaker,Stephanie Cohen,Chief Strategy Officer,Cloudflare,,,No,,https://www.linkedin.com/in/stephanieecohen/,,https://consensus.coindesk.com/agenda/speaker/-stephanie-cohen
Speaker,Bo Hines,CEO,Tether USA₮,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-bo-hines
Speaker,Kevin O'Leary,Chairman,O'Leary Ventures,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-kevin-oleary
Speaker,Alex Rodriguez,CEO of A-Rod Corp and Co-Chairman of Minnesota Timberwolves & Lynx,A-Rod Corp / Minnesota Timberwolves & Lynx,,,No,@arod,https://www.linkedin.com/in/alex-rodriguez-b4161815a,arodcorp.com,https://consensus.coindesk.com/agenda/speaker/-alex-rodriguez
Speaker,Donald Trump Jr,Co-Founder,World Liberty Financial,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-donald-trump-jr
Speaker,Charles Hoskinson,CEO and Founder,Input Output,,,No,IOHK_Charles,linkedin.com/company/input-output-global/?trk=public_profile_experience-item_profile-section-card_subtitle-click&originalSubdomain=ua,https://iohk.io/,https://consensus.coindesk.com/agenda/speaker/-charles-hoskinson
Speaker,Amy Oldenburg,Head of Digital Asset Strategy,Morgan Stanley,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-amy-oldenburg
Speaker,Michael Selig,Chairman,U.S. Commodity Futures Trading Commission,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-michael-selig
Speaker,Arthur Hayes,Chief Investment Officer,Maelstrom,,,No,cryptohayes,https://www.linkedin.com/in/arthur-hayes-b493b42/,https://www.maelstrom.fund,https://consensus.coindesk.com/agenda/speaker/-arthur-hayes-2
Speaker,Patrick Witt,"Executive Director, President’s Council of Advisors for Digital Assets",The White House,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-patrick-witt
Speaker,Adam  Back,Co-Founder & CEO,Blockstream,,,No,adam3us,https://www.linkedin.com/in/adam-back-043342,blockstream.com,https://consensus.coindesk.com/agenda/speaker/-adam-back
Speaker,Ashley Moody,Senator,U.S. Senate,,,No,senashleymoody,,https://www.moody.senate.gov/about/,https://consensus.coindesk.com/agenda/speaker/-senator-ashley-senator-ashley-moody
Speaker,Dan Romero,GTM,Tempo,,,No,dwr,,tempo.xyz,https://consensus.coindesk.com/agenda/speaker/-dan-romero
Speaker,Senator Kristen Gillibrand,,,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-senator-kristen-gillibrand
Speaker,Arjun Sethi,Co-CEO,Kraken,,,No,@arjunsethi,,www.kraken.com,https://consensus.coindesk.com/agenda/speaker/-arjun-sethi
Speaker,Zach Witkoff,Co-Founder & CEO,World Liberty Financial,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-zach-witkoff
Speaker,Jesse Pollak,Founder,Base,,,No,jessepollak,,,https://consensus.coindesk.com/agenda/speaker/-jesse-pollak
Speaker,Erik Reppel,Founder of x402 & Head of Engineering,Coinbase Developer Platform,,,No,programmer,,coinbase.com,https://consensus.coindesk.com/agenda/speaker/-erik-reppel
Speaker,Stani Kulechov,Founder & CEO,Aave Labs,,,No,https://x.com/StaniKulechov,https://www.linkedin.com/in/stani-kulechov/,aave.com,https://consensus.coindesk.com/agenda/speaker/-stani-kulechov
Speaker,Lindsey Einhaus,Strategy and Operations,Bridge,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-lindsey-einhaus
Speaker,Jed Finn,Head of Wealth Management,Morgan Stanley,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-jed-finn
