Record Type,Category/Tier,Name/Company,Title,Organization
Speaker,Government/Regulator,Paul Atkins,Chairman,U.S. Securities and Exchange Commission
Speaker,Government/Regulator,Hester M. Peirce,Commissioner,U.S. Securities and Exchange Commission
Speaker,Government/Regulator,Michael Selig,Chairman,Commodity Futures Trading Commission
Speaker,Government/Regulator,Jonathan Brightbill,General Counsel,U.S. Department of Energy
Speaker,Government/Regulator,Lori Chavez-DeRemer,Secretary,Department of Labor
Speaker,Government/Regulator,Jonathan V. Gould,Comptroller of the Currency,OCC
Speaker,Government/Regulator,Bill Guidera,Deputy Assistant Secretary,ITA
Speaker,Government/Regulator,Travis Hill,Chairman,Federal Deposit Insurance Corporation (FDIC)
Speaker,Government/Regulator,Patrick Witt,Executive Director,President's Council of Advisors for Digital Assets
Speaker,Government/Regulator,Tyler Williams,Counselor,US Department of Treasury
Speaker,Government/Regulator,Prof. Pierre Yared,Acting Chair,Council of Economic Advisers
Speaker,U.S. Senator,Sen. Angela Alsobrooks,U.S. Senator (D-MD),U.S. Senate
Speaker,U.S. Senator,Sen. Katie Britt,U.S. Senator (R-AL),U.S. Senate
Speaker,U.S. Senator,Sen. Ted Budd,U.S. Senator (R-NC),U.S. Senate
Speaker,U.S. Senator,Sen. Kirsten Gillibrand,U.S. Senator (D-NY),U.S. Senate
Speaker,U.S. Senator,Sen. Steve Daines,U.S. Senator (R-MT),U.S. Senate
Speaker,U.S. Senator,Sen. Bill Hagerty,U.S. Senator (R-TN),U.S. Senate
Speaker,U.S. Senator,Sen. Jon Husted,U.S. Senator (R-OH),U.S. Senate
Speaker,U.S. Senator,Sen. Cynthia Lummis,U.S. Senator (R-WY),U.S. Senate
Speaker,U.S. Senator,Sen. Bernie Moreno,U.S. Senator (R-OH),U.S. Senate
Speaker,U.S. Senator,Sen. Tim Scott,"Chairman, Senate Banking Committee (R-SC)",U.S. Senate
Speaker,U.S. Senator,Sen. Darius Brown,State Senator (D-DE),Delaware State Senate
Speaker,U.S. Senator,Sen. Ron L. Watson,State Senator (D-MD),Maryland State Senate
Speaker,U.S. Representative,Rep. Tom Emmer,Majority Whip (R-MN),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Nick Begich,U.S. Representative (R-AK),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Nikki Budzinski,U.S. Representative (D-IL),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Janelle Bynum,U.S. Representative (D-OR),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Buddy Carter,U.S. Representative (R-GA),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Don Davis,U.S. Representative (D-NC),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Monica De La Cruz,U.S. Representative (R-TX),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Warren Davidson,U.S. Representative (R-OH),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Byron Donalds,U.S. Representative (R-FL),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Troy Downing,U.S. Representative (R-MT),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Vince Fong,U.S. Representative (R-CA),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Mike Flood,U.S. Representative (R-NE),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Harriet Hageman,U.S. Representative (R-WY),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Pat Harrigan,U.S. Representative (R-NC),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Steven Horsford,U.S. Representative (D-NV),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Dusty Johnson,U.S. Representative (R-SD),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Young Kim,U.S. Representative (R-CA),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Sam Liccardo,U.S. Representative (D-CA),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Ryan Mackenzie,U.S. Representative (R-PA),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Max Miller,U.S. Representative (R-OH),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Kristen McDonald Rivet,U.S. Representative (D-MI),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Barry Moore,U.S. Representative (R-AL),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Bryan Steil,U.S. Representative (R-WI),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Haley Stevens,U.S. Representative (D-MI),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Shri Thanedar,U.S. Representative (D-MI),U.S. House of Representatives
Speaker,U.S. Representative,Rep. William Timmons,U.S. Representative (R-SC),U.S. House of Representatives
Speaker,U.S. Representative,Rep. GT Thompson,U.S. Representative (R-PA),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Suhas Subramanyam,U.S. Representative (D-VA),U.S. House of Representatives
Speaker,U.S. Representative,Rep. Keith Ammon,State Representative (R-NH),New Hampshire House of Representatives
Speaker,Governor/Official,Gov. Wes Moore,Governor (D-MD),State of Maryland
Speaker,Governor/Official,E. David Burt,Premier,Bermuda
Speaker,Governor/Official,Lord Kulveer Ranger of Northwood,Member,UK House of Lords
Speaker,Industry Leader,CZ (Changpeng Zhao),Founder,Binance
Speaker,Industry Leader,Richard Teng,Co-CEO,Binance
Speaker,Industry Leader,Justin Sun,Founder,TRON
Speaker,Industry Leader,Fred Thiel,Chairman and CEO,MARA
Speaker,Industry Leader,Jihan Wu,CEO,Bitdeer
Speaker,Industry Leader,Chris Pavlovski,Founder and CEO,Rumble Inc.
Speaker,Industry Leader,Stani Kulechov,Founder,Aave Labs
Speaker,Industry Leader,Matthew Roszak,Chairman and Co-founder,Bloq
Speaker,Industry Leader,Alex Tapscott,Founding Partner and CEO,CMCC Global Capital Markets
Speaker,Industry Leader,Avery Ching,Co-Founder and CEO,Aptos Labs
Speaker,Industry Leader,Alex Gluckowski,Co-Founder and CEO,Matter Labs / ZKsync
Speaker,Industry Leader,Raghu Yarlagadda,CEO and Co-Founder,FalconX
Speaker,Industry Leader,Yoshi Yokokawa,Co-Founder and CEO,Alpaca
Speaker,Industry Leader,Daniel Vogel,Co-Founder and CEO,Bitso
Speaker,Industry Leader,Ben Weiss,Co-founder and CEO,Coinflip
Speaker,Industry Leader,Trevor Bacon,Founder and CEO,Parcl
Speaker,Industry Leader,Ethan Chan,CEO and Co-Founder,Allium
Speaker,Industry Leader,Jeremy Levine,Founder and CEO,Underdog
Speaker,Industry Leader,Eugene A. Ludwig,Founder and CEO,Cari Network
Speaker,Industry Leader,Paul Neuner,Founder and CEO,Telcoin
Speaker,Industry Leader,Nikhil Raghuveera,Co-Founder and CEO,Predicate
Speaker,Industry Leader,Timm Reinsdorf,Co-Founder and CEO,Particula
Speaker,Industry Leader,Miller Whitehouse-Levine,Founder and CEO,Solana Policy Institute
Speaker,Industry Leader,Alexandre Dreyfus,CEO and Founder,Chiliz
Speaker,Industry Leader,Jolie Kahn,CEO,AVAX One
Speaker,Industry Leader,Alex Konanykhin,Founder and CEO,Unicoin
Speaker,Industry Leader,Alan Konevsky,CEO,tZERO
Speaker,Industry Leader,Ben Jorgensen,CEO,Constellation Network
Speaker,Industry Leader,Glen Sussman,CEO,Tassat
Speaker,Industry Leader,Matt Prusak,President,American Bitcoin
Speaker,Industry Leader,Jonathan Steinberg,Founder and CEO,WisdomTree Investments
Speaker,Industry Leader,Marcin Kazmierczak,CEO and Co-founder,RedStone
Speaker,Industry Leader,Joseph Ziolkowski,Founder and CEO,Relm Insurance
Speaker,Industry Leader,Paul Unterberg,Chief Product Officer,Uphold
Speaker,Industry Leader,Andrew McCormick,Head of eToro US,eToro
Speaker,Industry Leader,Tom Zschach,Chief Innovation Officer,SWIFT
Speaker,Industry Leader,Rob Krugman,Chief Digital Officer,Broadridge Financial Solutions
