name,title,company,bio,talk_title,country,photo_url,twitter,linkedin,source_year,event_edition
Alex Gladstein,Chief Strategy Officer,Human Rights Foundation,,,,https://afrobitcoin.org/wp-content/uploads/2024/03/Gladstein.jpg,,,2026,ABC26
Lorraine Marcel,,Bitcoin Dada,,,,https://afrobitcoin.org/wp-content/uploads/2025/10/Queen-Marcel.jpeg,,,2026,ABC26
Abubakar Nur Khalil,,Btrust,,,,https://afrobitcoin.org/wp-content/uploads/2024/08/Abubakar-Headshot-Abubakar-Nur-Khalil.jpeg,,,2026,ABC26
Femi Longe,,Human Rights Foundation,,,,https://afrobitcoin.org/wp-content/uploads/2025/11/Femi-Longe-e1762408399792.png,,,2026,ABC26
Jodom Konuko,,Bitsacco,,,,https://afrobitcoin.org/wp-content/uploads/2025/09/Jodom-Konuko.jpg,,,2026,ABC26
Amiti Uttarwar,,Waye,,,,https://afrobitcoin.org/wp-content/uploads/2024/10/Amiti-Uttarwar-scaled-e1729259446864.jpg,,,2026,ABC26
William Casarin,,Damus,,,,https://afrobitcoin.org/wp-content/uploads/2025/11/Will.png,,,2026,ABC26
Megasley,,Africa Free Routing,,,,https://afrobitcoin.org/wp-content/uploads/2025/10/Megasley-megasley.png,,,2026,ABC26
Ojoma Ochai,,Btrust,,,,https://afrobitcoin.org/wp-content/uploads/2024/05/IMG_5991-ojoma-ochai-200x300.jpg,,,2026,ABC26
Lamar Wilson,,Black Bitcoin Billionaires,,,,https://afrobitcoin.org/wp-content/uploads/2024/05/PXL_20220805_210102617.PORTRAIT-Cherise-Wilson-169x300.jpg,,,2026,ABC26
Nii Quaynor,,Ghana Dot Com,,,,https://afrobitcoin.org/wp-content/uploads/2024/05/Nii_Quaynor-300x200.jpeg,,,2026,ABC26
Obi Nwosu,,Fedi,,,,https://afrobitcoin.org/wp-content/uploads/2024/03/Obi-Nwosu.jpg,,,2026,ABC26
Jack Dorsey,,Block,,,,https://afrobitcoin.org/wp-content/uploads/2024/05/Jack-300x300.jpg,,,2026,ABC26
Mike Brock,,TBD,,,,https://afrobitcoin.org/wp-content/uploads/2024/05/Mike-Brock-Headshot-Lucinda-Bell-262x300.jpg,,,2026,ABC26
