name,title,company,bio,talk_title,country,photo_url,twitter,linkedin
Cameron Winklevoss,Founder,Gemini,,,,,,
Tyler Winklevoss,Founder,Gemini,,,,,,
Saifedean Ammous,Author,Saifedean.com,,,,,,
Gilles Roth,Minister of Finance,Luxembourg,,,,,,
Adam Back,Co-founder & CEO,Blockstream,,,,,https://x.com/adam3us,
Jack Mallers,Founder & CEO,Strike,,,,,,
David Bailey,CEO,Kindly MD ($NAKA),,,,,,
Khing Oei,Founder & CEO,Treasury,,,,,,
Peter McCormack,Chairman,Real Bedford FC,,,,,,
Adam Krellenstein,CEO; Founder,Unspendable Labs; Counterparty; Kontor,,,,,,
Alexandre Laizet,Board Director of Bitcoin Strategy,Capital B,,,,,,
Alex Pilař,Chairman of the Board,Inowatti a.s,,,,,,
Allen Helm,Director of Business Development,"Bitcoin for Corporations (BFC), BTC Inc",,,,,,
Amanda Fabiano,COO,KindlyMD ($NAKA),,,,,,
André Dragosch,"Director, Head of Research - Europe",Bitwise,,,,,,
Arjen,Open Source Developer,c03rad0r,,,,,,
Arno,Tap Master,BitcoinTaps,,,,,,
Bam Alasi,Founder,"B21 Arabic, Cypher Box",,,,,,
Bart Mol,Founder and Host,Satoshi Radio Podcast,,,,,,
Bas Lemmens,Chief Revenue Officer,Chainalysis Inc.,,,,,,
Bastien Taquet,Co-founder and CBO,Satochip,,,,,,
Bastien Teinturier,CTO,ACINQ,,,,,,
Ben Cowen,CEO/Founder,Into The Cryptoverse,,,,,,
Bert de Groot,Owner,Bitcoin Brabant B.V.,,,,,,
Bert Slagter,Host,Satoshi Radio / Bitcoin Alpha,,,,,,
Bob Davidoff,Founder & CEO,Bentaus,,,,,,
Brady Swenson,"Cofounder, VP Marketing",Swan Bitcoin,,,,,,
Bram Kanstein,Founder & Host,Bitcoin For Millennials,,,,,,
Brandon Bailey,Director Corporate Development,KindlyMD ($NAKA),,,,,,
Brandon Keys,Founder,Green Candle,,,,,,
Brett Reeves,Head of Europe Sales & Go Network,BitGo,,,,,,
Brian Dixon,CEO,Off the Chain Capital,,,,,,
Brinkie Noderunner,Developer,Noderunners,,,,,,
Calle,Founder,Cashu,,,,,,
Chris Kiew-Smith,"Head of Legal and Compliance, EMEA",Galaxy,,,,,,
Chris Seedor,CEO,"Bitsurance.eu, Seedor.io, Satskeeper.com",,,,,,
Christian Angermayer,Founder,Apeiron Investment Group,,,,,,
Claire Chisholm,Principal,Lomond School,,,,,,
Craig Deutsch,Director of Programming,BTC Inc.,,,,,,
Dan Held,General Partner,Asymmetric,,,,,,
Daniel Jonsson,CEO,mgmt Digital Infrastructure Fund,,,,,,
Daniël Mol,Host,BNR Nieuwsradio,,,,,,
David Johansson,CEO,NordBit,,,,,,
Decentralized Mind,Humble Hodler,BitaxeSchool,,,,,,
Denis van Beetz,Director Private Banking,Van Lanschot Kempen,,,,,,
Derar Islim,Antalpha's COO and CEO of Americas & EMEA,Antalpha,,,,,,
Douglas Bakkum,CEO,BitBox,,,,,,
"Duncan Coombe aka ""I Am GPIO""",Design Engineer in the Home Mining Space,The Solo Mining Co',,,,,,
Dusty Daemon,Protocol Developer,Lightning,,,,,,
Edward Hill,"Deputy Chairman, Policy and Finance",States of Alderney,,,,,,
Elvin Folkebrant Sababi,Senior Legal Counsel,dYdX Operations subDAO,,,,,,
Erik De Smedt,CTO,Second,,,,,,
Filip Baturan,"Founder, CEO",Tanari,,,,,,
Frank Corva,Contributor,Bitcoin Magazine & Forbes,,,,,,
Frederick Coleman,Head of Operations and Growth,Blockonomics,,,,,,
Gareth Jenkinson,Head of Multimedia,Cointelegraph,,,,,,
Garry Krugljakow,Head of Bitcoin Strategy - Member of the Board,aifinyo AG,,,,,,
George Mekhail,Managing Director,"Bitcoin for Corporations, BTC Inc",,,,,,
Giovanni Santostasi,Chief Scientific Officer,Quantonomy,,,,,,
Grafton Clark,Head of Growth,Vexl,,,,,,
Harald Rauter,Chief Growth Officer,21energy GmbH,,,,,,
Henry Elder,CEO,Satsuma Technology,,,,,,
Hero van Kampen,Bitcoiner,BitcoinTaps,,,,,,
Hervé Larren,Strategic Advisor,DigitalX,,,,,,
Hunter Albright,Chief Revenue Officer,SALT Lending,,,,,,
Invertedx,Senior software engineer,Foundation Device,,,,,,
Jaap Barneveld,Lawyer - partner,De Brauw Blackstone Westbroek,,,,,,
James Maxfield,Head of Europe OTC Trading,Gemini,,,,,,
James Van Straten,Senior Analyst,CoinDesk,,,,,,
