name,title,company,bio,talk_title,country,photo_url,twitter,linkedin
Balaji Srinivasan,CEO + Founder,Network School,,,,,,
"Dr. Hon Johnny NG, Kit Chong MH, JP","Member of National Committee of CPPCC; Chairman of Panel on Commerce, Industry, Innovation and Technology","Legislative Council of Hong Kong",,,Hong Kong,,,
David Bailey,CEO & Chairman,Nakamoto Inc.,,,,,,
Simon Gerovich,CEO,Metaplanet,,,Japan,,,
Justin Sun,Advisor,WBTC,,,,,,
Jack Kong,"Founder, Board Member","Nano Labs, Hong Kong Cyberport",,,Hong Kong,,,
Bilal Bin Saqib,Chairman,Pakistan Virtual Assets Regulatory Authority,,,Pakistan,,,
Gracy Chen,CEO,Bitget,,,,,,
Matt Cole,Chairman & CEO,Strive,,,,,,
Irene Gao,President of Mining,Bitmain,,,,,,
Hugh Hendry,Macro expert and social media personality,Acid Capitalist,,,,,,
Caspar Wong,CEO,Web3Labs,,,Hong Kong,,,
Adam Poulton,Founder/CEO,Get Paid In Bitcoin,,,,,,
Aditya Ranjan,Founder,Bitcoin Bharat,,,India,,,
Alexandre Laizet,Board Director of Bitcoin Strategy,Capital B,,,,,,
Anja Dragovic,Creator,The Honest Money Show,,,,,,
Anthony Power,CEO & Co-Founder,Power Analysis Ltd,,,,,,
Ariel Deschapell,Co-Founder & CTO,Hydra Host,,,,,,
Avik Roy,Co-Founder & Chairman,Foundation for Research on Equal Opportunity,,,,,,
Brian Hoonjong Paik,CEO,SmashFi,,,,,,
Calvin Tsai,,,,,,,,
Christoph Ono,Designer,Bitcoin Design,,,,,,
Damian Chen,VP Growth,Starknet Foundation,,,,,,
Dawn Musil,Chief of Staff,Edge City,,,,,,
Digvijay Chand Yaduka,,,,,,,,
Dominik Weil,Co-Founder,BitcoinVN,,,Vietnam,,,
Electra Frost,"Director, Accounting Technologist",Digital Playhouse Foundation Ltd,,,,,,
Gareth,Director,Bitcoin Association of Hong Kong,,,Hong Kong,,,
Harpreet Singh Maan,CEO & Co-founder,TEIZA,,,,,,
Hodl Tarantula,Co-founder,Sovereign Hybrid Compute,,,,,,
Hunter Albright,Chief Revenue Officer,SALT Lending,,,,,,
Jackson Steger,Founding Director,Network School,,,,,,
Jake Explains,Content Creator,Jake Explains Media,,,,,,
James Pierog,CEO,Glimpse,,,,,,
James of Ârc,Leader,Ârc,,,,,,
Janusz,CEO,(π)→✦,,,,,,
Jeff Walton,Chief Risk Officer & CEO of True North,Strive,,,,,,
Jeremy Chiang,Teacher,Renaissance College Hong Kong,,,Hong Kong,,,
Jimmy Kostro,Co-Founder,Bitcoin Chiang Mai,,,Thailand,,,
John Riggins,CEO,Moon Inc,,,,,,
John Pratt,Co-founder/Host,Bitcoin Sydney,,,Australia,,,
Jonathan C,CBO,Ellipal,,,,,,
Joseph Wang,Founder and Senior Physicist,Hong Kong Institute of Physics,,,Hong Kong,,,
Ju Chun Ko,Legislator,"Legislative Yuan, Republic of China (Taiwan)",,,Taiwan,,,
Keith Gardner,Founder,Branta,,,,,,
Kevin Follonier,,When Shift Happens,,,,,,
keypleb,Founder,Code Orange Dev School,,,,,,
Kishin Kato,Co-founder,"Japan Bitcoin Industry, Inc.",,,Japan,,,
Koji Higashi,Founder,Diamond Hands,,,Japan,,,
Liam Eagen,Co-founder,{ ideal },,,,,,
Lincoln Tan,Managing Director,OG Advisory Group,,,,,,
Lukas Duczko,,,,,,,,
Matt Crosby,Director of Research & Analytics,Bitcoin Magazine Pro,,,,,,
Maurizio Pedrazzoli,Founder,Mr M Podcast,,,,,,
Neil Woodfine,CMO,Second,,,,,,
Pedro,Experience Designer,Bitcoin Conference,,,,,,
Peng Li,US Sales Director,Bitdeer,,,,,,
Piers Macrae,Founder,mineracks,,,,,,
Piriya Sambandaraksa,Co-Founder and CEO,Right Shift,,,Thailand,,,
Roland Bewick,Lightning Developer,Alby,,,,,,
Russ Jacobson,COO,Moon Inc.,,,,,,
Santosh Vadivelu,Founder,Student of Bitcoin,,,,,,
Scott Lai,Founder,Monsterblockhk,,,Hong Kong,,,
Shambavi Soni,"Founder, Vision Lead",BitcoinHer,,,,,,
Shaun Gao,Partner,YakiHonne,,,,,,
Shawn Owen,CEO,SALT Lending,,,,,,
Stephan Livera,Podcaster,Stephan Livera Podcast,,,,,,
Stephen Perrenod,Associate Director,Scientific Bitcoin Institute,,,,,,
Tattapong (Farm) Kunthadech,Senior Associate,Bitcoin Learning Center & Arise by infinitas,,,Thailand,,,
Ying Tong Lai,Co-founder & CTO,{ ideal },,,,,,
Yushan Zheng,Founding Partner,Waterdrip Capital,,,,,,
