name,title,company,bio,country,talk_title,photo_url,social_links,event,event_year,source_url
Aaron Daniel,Co-founder,Resolvr,"Cofounder of Resolvr, an insurtech bridging the global insurance market to Bitcoin. Published author for Bitcoin Magazine and the Satoshi Papers.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6902797f70c9cd59bf3eb2ab_ldXo9g0oJ1Bxr-0EZRtLZjyXLUW6uKkx_H4mWU8aa3s.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Aaron van Wirdum,,Bitcoin Magazine,"Aaron van Wirdum is the technical editor for Bitcoin Magazine and the cohost of the Bitcoin, Explained podcast. With a background in studying the historical influence of society-shaping technologies, he’s been covering Bitcoin and related projects since 2013. He is known for his ability to explain highly-technical subjects to a layman audience and specializes in topics including Bitcoin’s history, scaling and privacy technology.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68a7722442ecf3c5645d1357_6ebd2291b174cef8fc57a92d.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Abderrahman Ghiadi,Head of Mining Pool (MENA),EMCD,"10+ years' background in Investments / Bitcoin mining for HNWIs & Institutions. He is also conducting research as a PhD researcher in Economics focusing on Bitcoin, Bitcoin mining, and Energy Economics using stranded or curtailed energy sources, and the development of competitive mining pool services for medium-size to large miners in the MEA region",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68cd6a08f0812abbb58892b9_hk7AA_X8wQfEbg3HFsc4zCj4hG0zQ2ulCWbKA_ShCkU.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Abdulla Al Dhaheri,CEO,The Blockchain Center Abu Dhabi,"Abdulla Al Dhaheri is the CEO of The Blockchain Center Abu Dhabi, leading the UAE’s flagship hub for digital asset innovation. He has played an instrumental role in bringing tier-1 global exchanges and market makers to Abu Dhabi, collaborating closely with regulators and sovereign stakeholders to build the UAE’s leadership in digital assets, AI, and tokenized finance. Abdulla previously advised multi-billion-dollar companies on public listings and digital asset adoption, and has been invited to speak at global conferences for his contributions to decentralized technologies. Today, he continues to invest strategically through The Blockchain Center Fund, scaling global digital asset ventures and sovereign-grade digital asset infrastructures from Abu Dhabi to the world.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6883c8e0c5e7a5122094b645_WSwuHtTtu9z8-Zn2tCk_aUGu4uZ7K-feNMzkQC95lno.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Abdumalik Mirakhmedov,Executive President,GDA,"Abdumalik Mirakhmedov is Executive President of GDA, one of the world’s largest and most experienced Bitcoin mining companies, with a track record of building, managing, and scaling data center operations spanning nearly a decade. GDA champions innovation, responsible energy use, and investment in the communities where it operates globally, including 20 data centres across North America, South America, Europe, and Central Asia. With a total power capacity of over 600 MW, the company has brought over 180,000 miners online. GDA is committed to supporting the infrastructure for the future of money by making the bitcoin network more robust, resilient, and secure.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68cd6a08f0812abbb58892b6_68QsRv_jIWk8KuJfIOsEQVC-Fb54n2fw7Yt4gFcu05I.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Abu Akkuc,Founder & Creative Director,21Million Fashion | Orange Elite,"Abu Akkuc is the founder and Creative Director of 21Million Fashion (Bitcoin fashion brand). With his brand, he demonstrates that Bitcoin is far more than a financial instrument – it is a cultural movement that inspires a new way of thinking. His collections carry the spirit of “Proof of Work”: discipline, perseverance, and authenticity are reflected in every detail. For him, fashion becomes a medium that makes freedom, independence, and creativity tangible. Under the umbrella of 21Million Fashion, Abu has also created a high-fashion subbrand, Orange Elite, which combines the highest quality standards with elegance and the rebellious energy of Bitcoin. Beyond his role as an entrepreneur, Abu is deeply committed to promoting Bitcoin education. He conveys the cultural, social, and philosophical dimensions of Bitcoin, making it clear that it’s not just about money, but about a new understanding of responsibility and self-determination. His work blends style with substance, showing how Bitcoin is shaping our culture and mindset in lasting ways.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68c2e69ff4851defb4062164_ikTz8ByLhibTjqyd3G89SI1fdoLYATIYNU_NvsykM6s.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Adam Haynes,Founder & CEO,Simple Mining,"Founder & CEO of Simple Mining. We sell, host, and repair Bitcoin miners with the goal of making Bitcoin mining simple, accessible, and profitable for everyone.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691d2b6d669f6f49c9c3cba1_KrAPMWnFZIz7JYjxEeqWljn-g-PDC-CzqsodKW-tBIM.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Adam O'Brien,Founder and CEO,Bitcoin Well,"Adam is a husband, father of four and a bitcoin entrepreneur on a mission to enable independence. Since founding Bitcoin Well in 2013, Adam has made it easy to buy, sell and use bitcoin both online in the bitcoin-only portal, and in person at Bitcoin ATMs across Canada. Today, Bitcoin Well is a publicly traded organization (BTCW)",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6887b630a94348bfcae22910_mlvcMjU7lRHxF5uY_WvIGRlPXYi5NbryJDq5U50NIEE.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Adam Schneider,CEO,La Boulangerie By Vulpes,"Adam Schneider, better known as “Seccour,” is a prominent figure in the Bitcoin community, especially in the UAE. He discovered Bitcoin in December 2012 at the age of 16, while still in high school. Having lived in Dubai since 2010, Seccour later pursued cybersecurity studies at university, which deepened his understanding of Bitcoin’s underlying technology. Since 2017, he has organized the Dubai Bitcoin Meetup, fostering a community dedicated to learning about and engaging with Bitcoin. His work focuses on advocating for Bitcoin in the UAE and developing tools that contribute to the evolving Bitcoin landscape.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68dc3fa401e27e0f1b13c012_88e216e7a00b420e7c5154be.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Ahmed Bin Sulayem,Executive Chairman & CEO,DMCC,"Ahmed Bin Sulayem is the Executive Chairman and Chief Executive Officer of DMCC and has driven its growth from a start-up of 28 member companies in 2003 to the world’s leading international business district in 2025 with over 25,000 member companies from 180 countries, employing over 80,000 people. Tasked with enhancing commodity trade flows through Dubai, DMCC has introduced to the market a number of value-added products and services under Mr Bin Sulayem’s leadership. In 2023, DMCC was named ‘Global Free Zone of the Year’ by The Financial Times fDi Magazine, for a record ninth consecutive year. Mr Bin Sulayem oversaw the exponential growth of the DMCC Free Zone master development in Jumeirah Lakes Towers (JLT), a 200-hectare business and residential community in Dubai of over 100,000 people living and working in 87 towers. Mr Bin Sulayem also oversees the development of DMCC’s latest real estate project, the Uptown Dubai district. Mr Bin Sulayem currently serves as the Chairman of the Dubai Diamond Exchange (DDE) and the Dubai Gold & Commodities Exchange (DGCX). The Kimberley Process officially appointed the United Arab Emirates (UAE) as the first and only Arab country to Chair the Kimberley Process (KP) in November 2015. Shortly after, the UAE Ministry of Economy officially appointed Mr Bin Sulayem as the UAE’s Chair of the KP for 2016. Mr Bin Sulayem was reappointed Chair of the KP for a historic second time in 2024 and has continued his leadership role with the position of Custodian Chair of the KP in 2025. CV – DMCC • 2001 – Joined DMCC • 2002 – Appointed Chief Operating Officer (COO) • 2007 – Appointed Executive Chairman • 2019 – Appointed Chief Executive Officer (CEO)",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/69138e378f6085cb8a0b64ae_d15e1f6ba7c78bf695cb19a6.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
