name,title,organization,bio,talk_title,photo_url,twitter,linkedin,year,event,source_url
"Michael Ellis","Deputy Director of the Central Intelligence Agency","Central Intelligence Agency (CIA)","Deputy Director of the Central Intelligence Agency. He previously served in senior national security roles across the U.S. government, including General Counsel of the National Security Agency, Senior Director for Intelligence Programs at the National Security Council, and General Counsel for the House Permanent Select Committee on Intelligence. A former intelligence officer in the U.S. Navy Reserve, Ellis brings deep legal and intelligence expertise to his leadership at the CIA.","","https://static.wixstatic.com/media/7c120c_d4b9eef9f8694f6984ceeaf3146a1e0d~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Bo Hines","Executive Director of the President's Council of Advisers on Digital Assets","White House","Executive Director of the President's Council of Advisers on Digital Assets. He is a former college football player for NC State Wolfpack and Yale Bulldogs who transitioned into politics, running as the Republican nominee for North Carolina's 13th congressional district in 2022. Hines now leads White House initiatives on digital asset policy and cryptocurrency regulation.","","https://static.wixstatic.com/media/5b61ba_7987f82d98084238947a3ea9dde1af5b~mv2.webp","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Tom Emmer","U.S. Congressman and House Majority Whip (R-MN)","U.S. House of Representatives","U.S. Representative serving Minnesota's 6th congressional district since 2015 and current House Majority Whip. Known for his leadership on Bitcoin and blockchain policy in Congress, Emmer champions innovation in financial technology and regulatory clarity for digital assets.","","https://static.wixstatic.com/media/5b61ba_d48c291256394d3a880ba11f7d939ee8~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Hester Peirce","Commissioner","U.S. Securities and Exchange Commission","Commissioner at the U.S. Securities and Exchange Commission, recognized for her forward-looking approach to digital asset regulation. She is widely known for her principled dissenting opinions that advocate for innovation-friendly frameworks, and is a frequent speaker on the need to balance technological advancement with investor protection.","","https://static.wixstatic.com/media/5b61ba_8c9766ee80c44d4588aa5a439e9875df~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Marsha Blackburn","U.S. Senator (R-TN)","U.S. Senate","United States Senator from Tennessee serving since 2019, previously representing Tennessee's 7th congressional district in the House from 2003 to 2019. Known for her work on telecommunications, technology policy, and digital privacy issues, Blackburn is a strong advocate for effective digital asset policies.","","https://static.wixstatic.com/media/5b61ba_0c83310617234f2592447b5544b346ff~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Ritchie Torres","U.S. Congressman (D-NY)","U.S. House of Representatives","U.S. Representative serving New York's 15th congressional district and youngest member of the New York City Council when elected. Known for his progressive advocacy and support for cryptocurrency innovation, Torres champions technological advancement and financial inclusion.","","https://static.wixstatic.com/media/5b61ba_8652a696299144369ddcba495b3e78f5~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Josh Gottheimer","U.S. Congressman (D-NJ)","U.S. House of Representatives","","","https://static.wixstatic.com/media/5b61ba_2ad652e659674d06961f8df89c71f4e5~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Andrew Hohns","Founder and CEO","Newmarket Capital and Battery Finance","Founder and CEO of Newmarket Capital, established in 2020 through the acquisition of the IIFC strategy platform, overseeing transaction structuring for approximately $50 billion of notional risk transfer. He previously served as Managing Director at Cohen & Company and was named one of Institutional Investor's '20 Rising Stars of Fixed Income,' while also serving as an Adjunct Assistant Professor at NYU Stern. Hohns holds multiple degrees from the University of Pennsylvania including a PhD in Applied Economics, and serves on several boards including UNICEF USA and Battery Finance Inc.","","https://static.wixstatic.com/media/5b61ba_9ecf5ef563ff4b52bed9a341bb6ea61d~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Alex Gladstein","Chief Strategy Officer","Human Rights Foundation","Chief Strategy Officer at the Human Rights Foundation and a prominent advocate for Bitcoin as a tool for human rights. He is widely known for his work connecting Bitcoin with human rights and financial freedom globally. Gladstein is a regular speaker and author on the intersection of technology and civil liberties.","","https://static.wixstatic.com/media/dea30a_6528999f1c004b749c2ed7e8d27c3c05~mv2.jpeg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Nick Begich","U.S. Congressman (R-AK)","U.S. House of Representatives","U.S. Representative serving Alaska's at-large congressional district. As a member of Congress, he brings expertise in technology and business to national policy discussions. Begich represents Alaska's interests in federal legislation while focusing on technological innovation and economic development.","","https://static.wixstatic.com/media/5b61ba_c6a57bb27e2d433b9ad516c5968188bc~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Cynthia Lummis","U.S. Senator (R-WY)","U.S. Senate","United States Senator from Wyoming. She is widely known for her pioneering work on cryptocurrency legislation and digital asset policy in the Senate. As the sponsor of the BITCOIN Act, Senator Lummis has placed Bitcoin on the legislative agenda.","","https://static.wixstatic.com/media/dea30a_c0d869123cf34d52b20f859bffb1f13a~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Jim Justice","U.S. Senator (R-WV)","U.S. Senate","United States Senator from West Virginia, elected in 2025 after serving two terms as Governor from 2017 to 2025. With a business background in coal and agriculture, he is known for championing economic innovation in West Virginia, including support for emerging technologies like Bitcoin. Justice advocates for pro-growth policies that aim to transform traditional energy regions into technology hubs while reinforcing West Virginia's leadership in energy production.","","https://static.wixstatic.com/media/5b61ba_22e781a7de1646149915cbda1e2a8309~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Warren Davidson","U.S. Congressman (R-OH)","U.S. House of Representatives","U.S. Representative serving Ohio's 8th congressional district since 2016. He is a former Army Ranger and businessman who has become a leading voice on financial technology and cryptocurrency policy in Congress.","","https://static.wixstatic.com/media/5b61ba_9b08526f2c154cdb895119d4044fc983~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Zach Nunn","U.S. Congressman (R-IA)","U.S. House of Representatives","U.S. Representative serving Iowa's 3rd congressional district since 2023, bringing expertise in national security and technology policy to Congress. Prior to Congress, he served as an Iowa State Senator and combat veteran with experience in cybersecurity and intelligence operations. Nunn champions innovation in financial technology and digital assets while advocating for practical regulatory frameworks that promote American competitiveness.","","https://static.wixstatic.com/media/5b61ba_0fc97455a36d4345b821879e11f3c66c~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Max Miller","U.S. Congressman (R-OH)","U.S. House of Representatives","","","https://static.wixstatic.com/media/5b61ba_a747926dd2cb4002a8fd17365effb8d8~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Earl L. ""Buddy"" Carter","U.S. Congressman (R-GA)","U.S. House of Representatives","Has served as the U.S. Representative for Georgia's 1st Congressional District since 2015. A pharmacist by training, he brings a deep understanding of healthcare to his legislative work, with a focus on pharmaceutical policy, public health, and digital innovation. Carter is recognized for advancing policies that promote technological progress and modernize the healthcare system.","","https://static.wixstatic.com/media/5b61ba_08d4b0ba67c94586a2094841db175788~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
