name,title,company,bio,talk_title,photo_url,twitter,linkedin
Eric Trump,Co-Founder and Chief Strategy Officer,American Bitcoin,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68f6fc1132630e78c00990bb_Eric%20Trump%201.png,,
Tristan Thompson,NBA Champion,"Co-Founder, basketball.fun",,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dfe531f3fb6ab181104f1a_tristanthompson_head_480%201.png,,
Iggy Azalea,Global Music Icon,"Founder, $MOTHER",,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dbd7ae6419006739baffa4_IggyAzalea_HEAD.png,,
Tom Bilyeu,World-Renowned Podcaster,Co-Founder Impact Theory,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68b0de4cbbc1997111bfc3aa_tombilyeu_head_720.jpg,,
Dr. Ben Goertzel,CEO,SingularityNet and ASI Alliance,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68c2b5e370adeeaabb761e48_BenGoertzel_HEAD%201.png,,
Asher Genoot,Executive Chairman of American Bitcoin and CEO of Hut 8,,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68f6fbbe1a5223428f1e461a_AsherGenoot_HEAD%201.png,,
Mike Ho,CEO,American Bitcoin,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/690b096230df5f81ef1668ff_MikeHo_HEAD%201.png,,
N3on,CEO,N3on Media,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68f132628636f90b1815fe75_n3on_head_720.jpg,,
Luca Schnetzler (Luca Netz),CEO,Pudgy Penguins,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/688cdef4806ddae7e1ecfb2b_LucaSchnetzler_HEAD.jpeg,,
Shaw Walters,Founder,Eliza Labs,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb55745296ac4c5d768_67f687e466a88549fcac1890_ShawWalters_HEAD%25201.png,,
Shan Aggarwal,Chief Business Officer,Coinbase,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68af2f16201bb770d788370c_ShanAggarwal_HEAD%201.png,,
Andrew Sobko,Founder & CEO,Argentum AI,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e408f456313232bab9a050_andrewsobko_head_720%201.png,,
Alexander Salnikov,Co-Founder,Rarible,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68d27c7aa9aefb6d85f0cea6_AlexSalnikov_HEAD.jpg,,
Lisa Loud,Executive Director,Secret Network,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb6fb4fa232ce4685e0_67b74ec94a6681c5b85442eb_lisa.png,,
Michael Carbonara,Republican Candidate for U.S. House of Representatives,25th Congressional District (Florida-25),,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6904d0485a980864b460374a_MichaelCarbonara_HEAD.JPG,,
Evan Kuhn,President,DeLorean Labs,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb5cde25f4932c8b26c_680c21d810ea3063cff21222_EvanKuhn_HEAD%25201.png,,
Roshan Roberts,"CEO, OKX US",OKX,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/689f1b3b132e82b072528575_RoshanRoberts_HEAD%201.png,,
Representative Webster Barnaby,Representative for HD-29,Florida House of Representatives,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68da7883e02d03041f1d4821_repwebsterbarnaby_head_720%201.png,,
Orangie,Top Crypto Content Creator & Founder of the #1 Crypto Trading Community.,,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69060f4b93ebcfa424d5d6d2_orangie_head_720.jpg,,
Senator Kirk Cullimore,Utah Senate Majority Leader,,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68aca439fe05d65de8d0e63c_Cullimore%20Headshot.jpg,,
Jaime Leverton,CEO,ReserveOne,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/688ce4616ed461e9afb321c4_JaimeLeverton_HEAD%201.png,,
Representative David Shallenberger,Utah House of Representatives,,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68aca4b949876cb085783aa3_Shallenberger%20Headshot%201.png,,
Scott Meadows,Head of Business Development,Coinbase,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68a8553cde1fd6b300cf0b4a_ScottMeadows_HEAD.jpeg,,
Josh Levy,"Mayor, City of Hollywood",FL,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/690c068899983911244b0018_JoshLevy_HEAD.jpeg,,
Elena Sinelnikova,Co-Founder,Metis & CryptoChicks,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eebca0cb4f4f7a191243_67ae2a27a4a8aaaa98f8891c_Screenshot%25202025-02-14%2520at%25201.21.28%25E2%2580%25AFAM.png,,
Clark Alexander,Chief AI Officer,Argentum AI,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e4095839a17d592ed5988a_ClarkAlexander_HEAD.jpg,,
Betty Sharples,Head of Business Development,Truflation,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/66b78abc38401814facfa068_BettySharples_HEAD.png,,
Clara Tsao,Founding Officer,Filecoin Foundation,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68655dde6a6111306f1daf59_ClaraTsao_HEAD.jpg,,
Dean Skurka,President & CEO,WonderFi,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/688112731be60251eb7e6908_DeanSkurka_HEAD%202.png,,
Sam Bourgi,Senior News Editor,Cointelegraph,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/67b47372870ee7b88b58dc12_678a8111ebfd21a3cfec90cd_SamBourgi_HEAD.webp,,
Todd Shapiro,"Co-Founder, CEO & Director",Red Light Holland,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68811bdfbeae537dd2bfeca9_ToddShapiro_HEAD.jpg,,
