name,title,company,category,event
Marc Boiron,CEO,Polygon Labs,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Don Tapscott,Executive Chairman & CEO,Blockchain Research Institute (BRI),Toronto 2026,Blockchain Futurist Conference Toronto 2026
Staci Warden,CEO,Algorand Foundation,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Ethan Buchman,CEO,Informal Systems / Cycles; Co-Founder Cosmos,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Nick Spanos,Blockchain Pioneer,Bitcoin Center NYC,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Charles Hoskinson,CEO & Founder,Input Output Group (Speaking Virtually),Toronto 2026,Blockchain Futurist Conference Toronto 2026
"James Stephens, CBE CCFI",Founder & CEO,Krown Technologies Inc.,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Eve Lam,Executive Director,Morgan Stanley,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Tracy Leparulo,Co-Founder,Blockchain Futurist Conference,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Laura Leparulo,Head of Marketing,,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Mahyar Akhbari,"Co-Founder, Head of BD",Anvil,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Simon,Lead,Superteam Canada,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Ada Vaughan,Senior Director of DeFi Partnerships,Stellar Development Foundation,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Chaddy Huussin,Executive Director,JPMorgan Chase & Co.,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Tyler Spalding,President,Acronym Foundation,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Eric Turner,CEO,Messari,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Naveen Maher,Chief Compliance Officer,Robinhood Canada,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Charles St. Louis,DeFi Protocol Specialist,Ethereum Foundation,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Roger Huang,Contributor / Author,Forbes; Bitcoin Magazine Books,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Trevor Koverko,Co-Founder,Sapien,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Janet Adams,Board Member,Artificial Superintelligence Alliance,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Philippe Noelting,Tokenization Lead,ZKsync / Matter Labs,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Brian Ford,"Vice President, Head of Business Solutions and Digital Assets",ATB Financial,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Kevin Liu,Co-Founder,Metis; Core Contributor GOAT Network,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Tanya Woods,Head of Government and Regulatory Affairs and Policy Counsel,Questrade Financial Group,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Jasraj Hallan,Shadow Minister for Finance; Member of Parliament,Calgary East,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Jaime Leverton,CEO,ReserveOne,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Ben Greenberg,Developer Relations Lead,Arbitrum Foundation,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Phil Davis,"Head of Americas, Enterprise",Ledger,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Lisa Loud,Executive Director,Secret Network,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Ingamar Ramirez,Growth,Starknet Foundation,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Richard Carleton,CEO,Canadian Securities Exchange; Non-executive Chair Tetra Digital; Board Member Blue Ocean Technologies,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Michael O'Connor,COO and GC,Cloudburst Technologies,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Sam Bourgi,Senior News Editor,Cointelegraph,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Alejandra Dito,Director Global Partnerships Digital Assets & Blockchain,Mastercard,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Aoyon Ashraf,Global Head of News,CoinDesk,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Nisrine Labcir,Innovation Lead,Interac Corp.,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Jan Gorzny,Co-Founder & Technical Lead,Zircuit,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Colin Sinclair,Chief Business Officer,Nirvana Finance,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Emanuel Toste,"Director, Experience Design – Wealth Management",BMO,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Evin McMullen,Co-Founder & CEO,Billions Network,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Kesem Frank,CEO,Stablecorp,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Drew Potter,Partnerships Manager,Brave,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Wayne Chen,CEO,EukaPay,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Marc Lafleur,Founder,DB8 Labs; Guest Dragon Dragon's Den,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Haymond Rankin,"Associate Director - Banking, Fintech & Virtual Assets",Cayman Finance,Toronto 2026,Blockchain Futurist Conference Toronto 2026
