name,title,company,bio,talk_title,photo_url,twitter,linkedin
Francis Pouliot,,,,,https://btchel.com/wp-content/uploads/2025/12/Francis-Pouliot-1024x1024.jpg,https://x.com/francispouliot_,
Martti Malmi,,,,,https://btchel.com/wp-content/uploads/2025/10/Logo-3-1024x1024.jpg,https://x.com/marttimalmi,
Adam Back,,,,,https://btchel.com/wp-content/uploads/2025/10/Logo-5-1024x1024.jpg,https://x.com/adam3us,
Martin Paasi,,,,,https://btchel.com/wp-content/uploads/2025/12/Martin-Paasi-1-1-1024x1024.jpg,https://x.com/MartinPaasi,
Giacomo Zucco,,,,,https://btchel.com/wp-content/uploads/2025/12/Giacomo-Zucco-1024x1024.jpg,https://x.com/giacomozucco,
Prince Filip Karadgeorgevic,,,,,https://btchel.com/wp-content/uploads/2025/12/PrinceFilip_BioPic_Dec2025.png,https://x.com/PrincFilip1,
Madex,,,,,https://btchel.com/wp-content/uploads/2025/12/Madex.jpg,https://x.com/SPACEBULL,
Joe Nakamoto,,,,,https://btchel.com/wp-content/uploads/2025/12/Joe-Nakamoto-1024x1024.jpg,https://x.com/JoeNakamoto,
Siim Land,,,,,https://btchel.com/wp-content/uploads/2025/12/Siim-Land-1024x1024.jpg,,
Lyudmyla Kozlovska,,,,,https://btchel.com/wp-content/uploads/2025/12/Lyudmyla-Kozlovska-1024x1024.jpg,https://x.com/LyudaKozlovska,
Rick Messitt,,,,,https://btchel.com/wp-content/uploads/2025/12/photo_2025-12-04_13-07-49.jpg,https://x.com/RMessitt,
Nathan Day,,,,,https://btchel.com/wp-content/uploads/2025/12/5872792080323644421-1.jpg,https://x.com/nathan_day,
Jukka Lepikkö,,,,,https://btchel.com/wp-content/uploads/2025/12/Jukka-Lepikko-Seedor.jpg,https://x.com/JukkaLepikko,
Tuomas Tuominen,,,,,https://btchel.com/wp-content/uploads/2025/12/Tuomas-Tuominen.jpg,https://x.com/iamtuomaa,
Robert Schulmann,,,,,https://btchel.com/wp-content/uploads/2025/12/Robert-Schulmann.jpg,,
Daniel Prince,,,,,https://btchel.com/wp-content/uploads/2025/12/Daniel-Prince-1024x1024.jpg,https://x.com/Princey21M,
Thomas Brand,,,,,https://btchel.com/wp-content/uploads/2025/12/Thomas-Brand-1024x1024.jpg,https://x.com/thlbr,
Knut Svanholm,,,,,https://btchel.com/wp-content/uploads/2025/12/Knut-Svanholm-1024x1024.jpg,https://x.com/knutsvanholm,
Sander Andersen,,,,,https://btchel.com/wp-content/uploads/2025/12/Sander-Anderson-1024x1024.jpg,https://x.com/Sanderandersenn,
Chris Seedor,,,,,https://btchel.com/wp-content/uploads/2025/12/Chris-Seedor-1024x1024.jpg,https://x.com/coinjoined,
Grafton Clark,,,,,https://btchel.com/wp-content/uploads/2025/12/grafton-clark-1024x1024.png,https://x.com/satsdisco,
Efrat Fenigson,,,,,https://btchel.com/wp-content/uploads/2025/12/Efrat-Fenigson-1024x1024.jpg,https://x.com/efenigson,
Sondre Rydningen Torberntsson,,,,,https://btchel.com/wp-content/uploads/2025/12/Sondre-Rydningen-Torberntsson-1024x1024.jpg,https://x.com/NorthOfTheWalls,
Ioni Appelberg,,,,,https://btchel.com/wp-content/uploads/2025/12/Ioni-Appelberg-1024x1024.jpg,https://x.com/IoniAppelberg,
Toni Heiskanen,,,,,https://btchel.com/wp-content/uploads/2025/12/Toni-Heiskanen-1024x1024.jpg,https://x.com/HeiskanenToni,
General Kenobi,,,,,https://btchel.com/wp-content/uploads/2025/12/General-Kenobi-1024x1024.jpg,https://x.com/KenobiGeneral5,
Christos Granqvist,,,,,https://btchel.com/wp-content/uploads/2025/12/Christos-Granqvist-1024x1024.jpg,https://x.com/BTCButcherCG,
