name,title,company,bio,talk_title,photo_url,twitter,linkedin,year,notes
Charles Hoskinson,Founder,Input Output Group,,,https://wojgrioccmbywgtruwfl.supabase.co/storage/v1/object/public/Media%2520Folders/Coinfest%2520Asia%25202026/CMS/Speakers/Profile%2520Pictures/1779275392957-charles-hoskinson.webp,,,2026,Speaking virtually
Felix Fan,CEO,Trust Wallet,,,https://wojgrioccmbywgtruwfl.supabase.co/storage/v1/object/public/Media%2520Folders/Coinfest%2520Asia%25202026/CMS/Speakers/Profile%2520Pictures/1776767510078-felix-fan.webp,,,2026,
Nick See Tong,APAC and Singapore Lead,Base,,,https://wojgrioccmbywgtruwfl.supabase.co/storage/v1/object/public/Media%2520Folders/Coinfest%2520Asia%25202026/CMS/Speakers/Profile%2520Pictures/1776767635382-nick-see-tong.webp,,,2026,
Alexander Svanevik,CEO,Nansen,,,,,,2026,
Iñaki Moreno,Strategic Partnerships Lead for Web3 and AI,Google,,,,,,2026,
William Sutanto,,INDODAX,,,,,,2026,
Ploy Boonyavee,,Tether,,,,,,2026,
Gabriel Rey,,TRIV Group,,,,,,2026,
Calvin Kizana,,Tokocrypto,,,,,,2026,
Angela Ang,,BitGo,,,,,,2026,
Fernando Aranda,,Zoomex,,,,,,2026,
Zac Cheah,Co-Founder,Pundi X,,,,,,2026,Listed as Pundi AI Co-Founder in press
Will Wu,,Bitget Wallet,,,,,,2026,
Gwen Martin,,BNB Chain,,,,,,2026,
Raagulan Pathy,Founder and CEO,KAST,,,,,,2026,
Tianwei Liu,,StraitsX,,,,,,2026,
Tessa Wijaya,,Xendit,,,,,,2026,
Charles Kok,,UOB Venture,,,,,,2026,
Nenter Chow,,BitMart,,,,,,2026,
Chris Yin,CEO,Plume,,,,,,2026,
Vijay Ayyar,,Gemini,,,,,,2026,
Wei Zhou,,Coins.ph,,,,,,2026,
Ashish Singhal,,CoinSwitch,,,,,,2026,
Niki Sekar Dewayani,,Indonesia Crypto Network,,,,,,2026,
Mohammad Raafi Hossain,Co-Founder and CEO,Fasset,,,,,,2026,
David Low,,Hata Digital Sdn Bhd,,,,,,2026,
Nathanael Christian,,IDRX,,,,,,2026,
Nichel Gaba,,PDAX,,,,,,2026,
Seihaku Yoshida,,HashPort,,,,,,2026,
Jae Yun,,Frax Finance,,,,,,2026,
Tanawat (Poom) Chiewhawan,,Tokenomist,,,,,,2026,
Ariif Hou,,Startale,,,,,,2026,
Yos Ginting,,KADIN Indonesia,,,,,,2026,
Frederick Tan,,TheBlock,,,,,,2026,
Thomas Hitomi Chou,,Canton Foundation,,,,,,2026,
Jeannie Lim,,Xweave.io,,,,,,2026,
Andy Cho,,KRWQ (IQ),,,,,,2026,
Basel Ismail,CEO,Blockcircle,,,,,,2026,
Adriel Wong,,TRM Labs,,,,,,2026,
Ashwin Chockalingam,,BLOX,,,,,,2026,
Pratyush Shah,,CoinSwitch,,,,,,2026,
Akshat Vaidya,,Maelstrom,,,,,,2026,
Jason Tay,,HashKey OTC Singapore,,,,,,2026,
Ian Fong,,Money20/20,,,,,,2026,
Naqib Noor,,Mezo,,,,,,2026,
Daryl Lim,,TRIVE Digital,,,,,,2026,
Rightside,,Pendle,,,,,,2026,
Yanzero,,Dev Web3 Jogja,,,,,,2026,
Kevin Lee,,Gate,,,,,,2026,
Jack Yark,Head of Trading,Acheron Trading,,,,,,2026,
Shae,,Nansen,,,,,,2026,
Kevin Susanto,,Arktivak,,,,,,2026,
Ben Zhou,Co-Founder & CEO,Bybit,,,,,,2026,
