name,role,title,company,bio,twitter,twitter_handle,farcaster,linkedin,photo_url
Alex McFarlane,Judge,CEO of Keyring Network,Keyring Network,"Master’s in theoretical physics (2016). Former quant at Nomura (Risk, QIS, Alpha). Founded Keyring Network to bring institutional-grade compliance to on-chain trading and enable real adoption.",https://x.com/KeyringNetwork,KeyringNetwork,,,https://ethglobal.b-cdn.net/users/65nzr/sm.jpg
Brett Sun,Judge,Cofounder,Prelude,,https://x.com/sohkai,sohkai,,,https://ethglobal.b-cdn.net/users/3f9ui/sm.jpg
Hugo Montenegro,Judge,Co-Founder,Peanut,,,,,,https://ethglobal.b-cdn.net/users/pujou/sm.jpg
Joao Alves,Judge,Co-Founder,Bleap,,https://x.com/JoaoAlvesDotETH,JoaoAlvesDotETH,,,https://ethglobal.b-cdn.net/users/upw78/sm.jpg
Kartik Talwar,Judge,Co-founder,ETHGlobal,Kartik is the Co-founder of ETHGlobal,https://x.com/kartiktalwar,kartiktalwar,kartik,,https://ethglobal.b-cdn.net/users/1eqho/sm.jpg
Nuno Loureiro,Judge,Senior Product Designer,Ethereum Foundation,,https://x.com/nloureiro,nloureiro,,,https://ethglobal.b-cdn.net/users/j5mvj/sm.jpg
Pedro Gomes,Judge,Founder,WalletConnect,"WalletConnect gives developers the tools to build secure, interactive, and powerful experiences that users everywhere can enjoy.",https://x.com/pedrouid,pedrouid,,,https://ethglobal.b-cdn.net/users/7ctir/sm.jpg
Roberto Machado,Judge,Founder,Subvisual,Founder & CEO at Subvisual. Ex: CPO at Utrust & Decipad,https://x.com/rmdmac,rmdmac,,,https://ethglobal.b-cdn.net/users/xih27/sm.jpg
Simona Pop,Judge,Host,The Human Protocol,,https://x.com/Sim_Pop,Sim_Pop,,,https://ethglobal.b-cdn.net/users/aqm94/sm.jpg
Vlad DeGen,Judge,DeFi Product Lead,Babylon Labs,,,,,,https://ethglobal.b-cdn.net/users/32xwo/sm.jpg
Jan Gorzny,Mentor,Co-Founder & Technical Lead,Zircuit,Co-founder/Tech Lead at Zircuit: built a ZK rollup and a DeFi protocol. Previously: smart contract auditor at Quantstamp. PhD in computer science.,https://x.com/jgorzny,jgorzny,jgorzny,,https://ethglobal.b-cdn.net/users/ip7mb/sm.jpg
Petros G. Sideris,Mentor,,Obolos,"Software Engineer first, Founder second. Two decades of experience building Software Systems. Ethereum and digital Ownership is my obsession.",https://x.com/pgsideris,pgsideris,,,https://ethglobal.b-cdn.net/users/cc7cr/sm.jpg
