name,title,company,bio,talk_title,photo_url,twitter,linkedin,source_year
Balaji Srinivasan,"Founder, Investor, Author",The Network State,,,https://framerusercontent.com/images/QV4IwGGQvXmDWoKMXsuPYguri0.webp?scale-down-to=1024&amp;width=1340&amp;height=1600,,,2026
Arthur Hayes,CIO,Maelstrom,,,https://framerusercontent.com/images/wqiR5S5NHoYCZtnjEIBzC0sAQM.webp?scale-down-to=1024&amp;width=1340&amp;height=1600,,,2026
Tom Lee,Chairman,BitMine,,,https://framerusercontent.com/images/w2aU9U9yETIZkyjih6M1rmAZ55s.webp?scale-down-to=1024&amp;width=1340&amp;height=1600,,,2026
Kyoungsuk Oh,CEO,Upbit,,,https://framerusercontent.com/images/4g35K8wTiMU1GJtiGzZYB4RR4.webp?scale-down-to=1024&amp;width=1340&amp;height=1600,,,2026
Jeff Yan,CEO,Hyperliquid Labs,,,https://framerusercontent.com/images/Ze40Lc1bh8NgmlF4TB9xIgLlk.webp?scale-down-to=1024&amp;width=1340&amp;height=1600,,,2026
Bo Hines,CEO,Tether USA₮,,,https://framerusercontent.com/images/Vxwo2U6h1qqEqtmCswy0nuGwkQ.webp?scale-down-to=1024&amp;width=1340&amp;height=1600,,,2026
Harry Jung,Deputy Director,The White House,,,https://framerusercontent.com/images/wwvKTBggTOsx6ycA1EdQZ5kyyI.webp?scale-down-to=1024&amp;width=1340&amp;height=1600,,,2026
Johann Kerbrat,SVP & GM of Crypto,Robinhood,,,https://framerusercontent.com/images/JtPueOwxUA43DY3Q25Ot4vYdTWg.webp?scale-down-to=1024&amp;width=1340&amp;height=1600,,,2026
Caroline Pham,Chief Legal Officer and Chief Administrative Officer,MoonPay,,,https://framerusercontent.com/images/grPMPqyyCnnmdBjkP4UsLQFhPeo.webp?width=670&amp;height=800,,,2026
Monica Long,President,Ripple,,,https://framerusercontent.com/images/D5lSP90j7Y3VQETfGnLUEze1K0o.webp?scale-down-to=1024&amp;width=1340&amp;height=1600,,,2026
Joseph Chalom,CEO,Sharplink,,,https://framerusercontent.com/images/j8uQw87vLNCCfqGENGufLkGhaA.webp?width=670&amp;height=800,,,2026
Christine Moy,Head of Digital Assets,Apollo,,,https://framerusercontent.com/images/eghnKOkaY9O3joRNBPnweHvlJ1U.webp?scale-down-to=1024&amp;width=1340&amp;height=1600,,,2026
