name,title,company,bio,session_title,country,photo_url,twitter,linkedin,website
Adam Wiggins,Director of Data Center Solutions,Camfil,,,,https://miningdisrupt.com/assets/images/gallery12/a699ed77.png?v=0308a4f1,,,
Alan Gallo,BD & Marketing Manager,JSBit,,,,https://miningdisrupt.com/assets/images/gallery08/c4a70181.png?v=0308a4f1,,,
Alex Dischinger,Sales,MegaMiner,,,,https://miningdisrupt.com/assets/images/gallery12/1cd60f1e.png?v=0308a4f1,,,
Alexander Lozben,Founder and CEO,Interhash,,,,https://miningdisrupt.com/assets/images/gallery12/c46ca07f.png?v=0308a4f1,,,
Ally Quan,Sales Manager,LeedMiner,,,,https://miningdisrupt.com/assets/images/gallery10/a98ccd01.png?v=0308a4f1,,,
Amanda Chang,General Manager,Asic Ark,,,,https://miningdisrupt.com/assets/images/gallery10/3f8f8f84.png?v=0308a4f1,,,
Andrii Garanin,CEO,Hiveon Energy,,,,https://miningdisrupt.com/assets/images/gallery08/2e599a7e.png?v=0308a4f1,,,
Andy 'PizzAndy' Prokopyk,Founder,Proof of Print,,,,https://miningdisrupt.com/assets/images/gallery10/b97851a1.png?v=0308a4f1,,,
Andy Wang,CEO,HashWhale,,,,https://miningdisrupt.com/assets/images/gallery08/ee350f44.png?v=0308a4f1,,,
Ankit Joshi,Head of North America,GDA,,,,https://miningdisrupt.com/assets/images/gallery10/a5194588.png?v=0308a4f1,,,
Ann Willmott,Senior Product Manager,Foundry,,,,https://miningdisrupt.com/assets/images/gallery08/f6137b46.png?v=0308a4f1,,,
Anthony Power,Co-Host,Power Mining Analysis,,,,https://miningdisrupt.com/assets/images/gallery08/654442d2.png?v=0308a4f1,,,
Asher Genoot,CEO,Hut8,,,,https://miningdisrupt.com/assets/images/gallery08/1a342275.png?v=0308a4f1,,,
Barun Kar,Co-Founder & COO,Auradine,,,,https://miningdisrupt.com/assets/images/gallery08/bc36c2e1.png?v=0308a4f1,,,
Ben Johnson,Regional Manager,Dream Power,,,,https://miningdisrupt.com/assets/images/gallery08/fed6666a.png?v=0308a4f1,,,
Ben Perrin,,BTC Sessions,,,,https://miningdisrupt.com/assets/images/gallery08/52b0a77f.png?v=0308a4f1,,,
Ben Thomision,Head of Mining Operations,ICERIVER,,,,https://miningdisrupt.com/assets/images/gallery08/1402f0af.png?v=0308a4f1,,,
Ben Weng,VP of Product,Elphapex,,,,https://miningdisrupt.com/assets/images/gallery08/cf7b6791.png?v=0308a4f1,,,
Bitcoin Mechanic,Global head of Communications,Ocean,,,,https://miningdisrupt.com/assets/images/gallery10/68095123.png?v=0308a4f1,,,
Bradley Peak,Global Head of Sales,VNISH,,,,https://miningdisrupt.com/assets/images/gallery12/17305711.png?v=0308a4f1,,,
Bryan Hurwitz,Hardware Infrastructure Underwriting Lead,Evertas,,,,https://miningdisrupt.com/assets/images/gallery10/dfe7dedc.png?v=0308a4f1,,,
Bryan Pasthumus,Michigan Majority Leader,,,,,https://miningdisrupt.com/assets/images/gallery08/d5668021.png?v=0308a4f1,,,
Bryce McNalie,Co-Host,Power Mining Analysis,,,,https://miningdisrupt.com/assets/images/gallery08/fa0af08b.png?v=0308a4f1,,,
Cade Peterson,Owner/Operator,Software LLC,,,,https://miningdisrupt.com/assets/images/gallery10/30c0653c.png?v=0308a4f1,,,
Carmen Li,Head of Marketing,Tictacc,,,,https://miningdisrupt.com/assets/images/gallery08/2fa77e48.png?v=0308a4f1,,,
Charles Lin,COO,Leedminer,,,,https://miningdisrupt.com/assets/images/gallery12/14c0dc68.png?v=0308a4f1,,,
Chuch L'Ecuyer,Founder & CEO,Intelliflex,,,,https://miningdisrupt.com/assets/images/gallery08/9c53517b.png?v=0308a4f1,,,
CJ Burnett,Chief Revenue Officer,Compass Mining,,,,https://miningdisrupt.com/assets/images/gallery08/e34e9a4a.png?v=0308a4f1,,,
Curtis Harris,Director of Marketing and Business Development,Compass Mining,,,,https://miningdisrupt.com/assets/images/gallery08/bebfab1a.png?v=0308a4f1,,,
Dalio Pera,Official Emcee,"Bitcoin Mining News, Mining Disrupt",,,,https://miningdisrupt.com/assets/images/gallery12/039a321c.png?v=0308a4f1,,,
Dan Koehler,CEO,Asic Plug & FARMGOD,,,,https://miningdisrupt.com/assets/images/gallery10/a7b22f3a.png?v=0308a4f1,,,
Dan Lawrence,CEO,OBM | Foreman,,,,https://miningdisrupt.com/assets/images/gallery12/c8030bc0.png?v=0308a4f1,,,
Dan Liu,CEO Assistant,Fog Hashing,,,,https://miningdisrupt.com/assets/images/gallery10/b7890783.png?v=0308a4f1,,,
Dane Sjoden,Founder & CEO,Hashrate House,,,,https://miningdisrupt.com/assets/images/gallery10/bf956b4c.png?v=0308a4f1,,,
Danny James,"CEO, Licensed Customs Broker",,,,,https://miningdisrupt.com/assets/images/gallery08/51bd2df3.png?v=0308a4f1,,,
David Chernis,"Director, Flexible Compute Platforms",CPower,,,,https://miningdisrupt.com/assets/images/gallery12/62c268df.png?v=0308a4f1,,,
David Kennedy,Founder,BTG Computing,,,,https://miningdisrupt.com/assets/images/gallery10/4266c16a.png?v=0308a4f1,,,
Dennis Porter,Official Emcee,Satoshi Action,,,,https://miningdisrupt.com/assets/images/gallery08/06a1e904.png?v=0308a4f1,,,
Denny Xing,VP of Business Development,Hash House,,,,https://miningdisrupt.com/assets/images/gallery10/cdbf8210.png?v=0308a4f1,,,
Doug Wilson,Head of Credit,Coinbase,,,,https://miningdisrupt.com/assets/images/gallery10/c6b6dd16.png?v=0308a4f1,,,
Eduardo Guo,Vice President,FBOX,,,,https://miningdisrupt.com/assets/images/gallery08/5b8f2bb2.png?v=0308a4f1,,,
Emma Todd,CEO,MMH Data Systems,,,,https://miningdisrupt.com/assets/images/gallery10/337ff156.png?v=0308a4f1,,,
Eryka Gemma,Co-Emcee,Timelock Ventures,,,,https://miningdisrupt.com/assets/images/gallery08/a2807e92.png?v=0308a4f1,,,
Ethan Ellenberg,CEO,Moonshot,,,,https://miningdisrupt.com/assets/images/gallery10/c1c87632.png?v=0308a4f1,,,
Frank Holmes,Co-Founder & Executive Chairman,Hive Digital Technologies,,,,https://miningdisrupt.com/assets/images/gallery10/a2e709e8.png?v=0308a4f1,,,
Gabriel Lamas,Paraguay President of Operations,HIVE,,,,https://miningdisrupt.com/assets/images/gallery12/a42f0433.png?v=0308a4f1,,,
Gary Berwick,Sales Engineer,Dry Coolers,,,,https://miningdisrupt.com/assets/images/gallery08/6fc39248.png?v=0308a4f1,,,
General Kenobi,Head of Business Development,DMND,,,,https://miningdisrupt.com/assets/images/gallery10/0504e3f4.png?v=0308a4f1,,,
Grace Huang Chivers,"Director, Head of Global Sales",Unistar,,,,https://miningdisrupt.com/assets/images/gallery08/d9c2ace0.png?v=0308a4f1,,,
Hobbyist Miner,Content Creator,The Hobbyist Miner,,,,https://miningdisrupt.com/assets/images/gallery10/0e9ac327.png?v=0308a4f1,,,
Ian A. Northan,Co-Founder and Chief Legal Officer,Ocean,,,,https://miningdisrupt.com/assets/images/gallery08/01b2e2a3.png?v=0308a4f1,,,
Jan Warmus,Partnership Director (USA/EU),EMCD,,,,https://miningdisrupt.com/assets/images/gallery10/73d8be42.png?v=0308a4f1,,,
Javier Hermosa,"Director - Energy, Mining & AI",Braiins,,,,https://miningdisrupt.com/assets/images/gallery10/ca783ea6.png?v=0308a4f1,,,
Jill Ford,Founder & Managing Director,Bitford Digital,,,,https://miningdisrupt.com/assets/images/gallery10/e9214d4d.png?v=0308a4f1,,,
Jim Moran,Director of Business Development,Rensa Filtration,,,,https://miningdisrupt.com/assets/images/gallery12/3ac45d24.png?v=0308a4f1,,,
Jolie Kahn,CEO,AgriFORCE,,,,https://miningdisrupt.com/assets/images/gallery08/643be845.png?v=0308a4f1,,,
Jordan Hidalgo,Founder,Fluxx,,,,https://miningdisrupt.com/assets/images/gallery12/d7177fa9.png?v=0308a4f1,,,
Joseph Chu,CFA,Meanwhile,,,,https://miningdisrupt.com/assets/images/gallery10/841ff2ce.png?v=0308a4f1,,,
Joshua Bell,Director of Revenue,,,,,https://miningdisrupt.com/assets/images/gallery08/0f44fcf5.png?v=0308a4f1,,,
Juergen Waithera,Head of Development,FARMGOD,,,,https://miningdisrupt.com/assets/images/gallery10/e35a1e9d.png?v=0308a4f1,,,
Justin McAfee,Founder of Wright One,Wright One,,,,https://miningdisrupt.com/assets/images/gallery10/e30e0a39.png?v=0308a4f1,,,
Kaiping Wang,Regional Manager,Easy2Mine,,,,https://miningdisrupt.com/assets/images/gallery08/2cd36a9c.png?v=0308a4f1,,,
Kapeikin Andrei,CEO,Neopool Ltd.,,,,https://miningdisrupt.com/assets/images/gallery10/af32f340.png?v=0308a4f1,,,
Lawrence Lepard,Author,The Big Print,,,,https://miningdisrupt.com/assets/images/gallery08/adfba46c.png?v=0308a4f1,,,
Luke Dashjr,Co-Founder,Ocean,,,,https://miningdisrupt.com/assets/images/gallery10/867c6d6a.png?v=0308a4f1,,,
Luke Rossy,Chief Operating Officer,Hive Digital Technologies LTD,,,,https://miningdisrupt.com/assets/images/gallery08/1f82b07c.png?v=0308a4f1,,,
Mark Artymko,President,Ocean,,,,https://miningdisrupt.com/assets/images/gallery10/d4be72a8.png?v=0308a4f1,,,
Marko Tarman,Lead Mining Manager,NiceHash,,,,https://miningdisrupt.com/assets/images/gallery08/0724f88d.png?v=0308a4f1,,,
Matt Quinn,Director,Nervos Foundation,,,,https://miningdisrupt.com/assets/images/gallery10/999d2ced.png?v=0308a4f1,,,
Matthew Cutler,Business Development Associate,Braiins,,,,https://miningdisrupt.com/assets/images/gallery12/b0a15878.png?v=0308a4f1,,,
Matthew Sigel,Head of Digital Assets Research,VanEck,,,,https://miningdisrupt.com/assets/images/gallery08/cfdbfd4b.png?v=0308a4f1,,,
Max Matrenitski,Founder,"Everminer, OpenMine, Cyberian Mine",,,,https://miningdisrupt.com/assets/images/gallery12/356b5483.png?v=0308a4f1,,,
Mia Xu,Strategic Advisor,Tictacc,,,,https://miningdisrupt.com/assets/images/gallery08/0ef2632c.png?v=0308a4f1,,,
Michelle Zhang,Director of Business Development,K&K Data Services Inc.,,,,https://miningdisrupt.com/assets/images/gallery10/92be7e1c.png?v=0308a4f1,,,
Nacho Pauls,CCO,Ocean,,,,https://miningdisrupt.com/assets/images/gallery10/d690efb1.png?v=0308a4f1,,,
Nick Burley,VP of North America,Fog Hashing,,,,https://miningdisrupt.com/assets/images/gallery10/d26eb5b4.png?v=0308a4f1,,,
Nico Moran,Founder,Simply Bitcoin,,,,https://miningdisrupt.com/assets/images/gallery12/22a3f9f1.png?v=0308a4f1,,,
Optimist Fields,Co-Founder,Simply Bitcoin,,,,https://miningdisrupt.com/assets/images/gallery12/060bc54c.png?v=0308a4f1,,,
Paphy Cai,CBDO,ViaBTC,,,,https://miningdisrupt.com/assets/images/gallery08/29b328b7.png?v=0308a4f1,,,
Paul Li,CEO & Founder,Fog Hashing,,,,https://miningdisrupt.com/assets/images/gallery10/da6ff851.png?v=0308a4f1,,,
Payne Cong,Head of Business Development,Elphapex,,,,https://miningdisrupt.com/assets/images/gallery08/d69d2f0b.png?v=0308a4f1,,,
Peng Li,US Sales Director,BITDEER,,,,https://miningdisrupt.com/assets/images/gallery08/0a9feb00.png?v=0308a4f1,,,
Perry Hothi,Solutions Architect,Protocol at Block Inc,,,,https://miningdisrupt.com/assets/images/gallery08/9f4d8d3d.png?v=0308a4f1,,,
Rapha Zagury,Founder & CEO,Elektron Energy,,,,https://miningdisrupt.com/assets/images/gallery12/8b09b63e.png?v=0308a4f1,,,
Rex Liu,Sales Manager,DCE Miner,,,,https://miningdisrupt.com/assets/images/gallery08/21ba3671.png?v=0308a4f1,,,
Reza Azizian,"CEO, Co-Founder",Feveret,,,,https://miningdisrupt.com/assets/images/gallery08/bffc7061.png?v=0308a4f1,,,
Rice Lummis,Senior Director of Assets,Gridmatic,,,,https://miningdisrupt.com/assets/images/gallery10/3d5f825f.png?v=0308a4f1,,,
Rick Margerison,Immersion Cooling Engineer,Gamma Technologies,,,,https://miningdisrupt.com/assets/images/gallery10/4b3892d5.png?v=0308a4f1,,,
Ronald Bynoe,Founder,Reckless Systems,,,,https://miningdisrupt.com/assets/images/gallery10/1e385e48.png?v=0308a4f1,,,
Rustin Watt,Head of News,Simply Bitcoin,,,,https://miningdisrupt.com/assets/images/gallery10/28f92c61.png?v=0308a4f1,,,
Ryan Lackey,CSO,Evertas,,,,https://miningdisrupt.com/assets/images/gallery10/f72af7a0.png?v=0308a4f1,,,
Ryan Miller,Director of Business Development,Braiins,,,,https://miningdisrupt.com/assets/images/gallery12/c41b48e6.png?v=0308a4f1,,,
Samson Mow,CEO,Jan3,,,,https://miningdisrupt.com/assets/images/gallery08/d01e7c43.png?v=0308a4f1,,,
Scot Johnson,Founder & CEO,Digital Shovel,,,,https://miningdisrupt.com/assets/images/gallery08/6f2519c4.png?v=0308a4f1,,,
Scott Offord,Founder & CEO,Bitcoin Mining World,,,,https://miningdisrupt.com/assets/images/gallery10/81ef551e.png?v=0308a4f1,,,
Sean McDonough,"Director, President & Chief Executive Officer",New West Data,,,,https://miningdisrupt.com/assets/images/gallery10/2a6787a8.png?v=0308a4f1,,,
Shannon Squires,Chief Mining Officer,Compass Mining,,,,https://miningdisrupt.com/assets/images/gallery08/19fee3c3.png?v=0308a4f1,,,
Shirley Segal,VP Marketing,Chain Reaction,,,,https://miningdisrupt.com/assets/images/gallery10/1580616e.png?v=0308a4f1,,,
Sidonia Wong,Sales Manager,Letine Mining,,,,https://miningdisrupt.com/assets/images/gallery08/214c339a.png?v=0308a4f1,,,
Skot,Bitaxe Creator,,,,,https://miningdisrupt.com/assets/images/gallery08/447ad3cd.png?v=0308a4f1,,,
Steven Eliscu,COO,DMG,,,,https://miningdisrupt.com/assets/images/gallery12/f83004e5.png?v=0308a4f1,,,
Summer Meng,General Manager,Bitmars,,,,https://miningdisrupt.com/assets/images/gallery08/3013532f.png?v=0308a4f1,,,
Sydney Bright,Customer Success Lead Facilitator,Abundant Mines,,,,https://miningdisrupt.com/assets/images/gallery10/253a54ce.png?v=0308a4f1,,,
Tech Hustler,Content Creator Mining Focused,,,,,https://miningdisrupt.com/assets/images/gallery12/02940867.png?v=0308a4f1,,,
Timo Steipe,Founder,MIM,,,,https://miningdisrupt.com/assets/images/gallery10/656a34cb.png?v=0308a4f1,,,
Tina Zhao,Sales Manager,ASLminer,,,,https://miningdisrupt.com/assets/images/gallery08/6025eeb7.png?v=0308a4f1,,,
Tony Peng,Global PR Director,BitFuFu,,,,https://miningdisrupt.com/assets/images/gallery10/82045386.png?v=0308a4f1,,,
Trevor Bello,Chief Propaganda Officer,Bitcoin Mining World,,,,https://miningdisrupt.com/assets/images/gallery10/1f1f0c3c.png?v=0308a4f1,,,
Vincent Zhang,"Founder, CEO",Winchain Group,,,,https://miningdisrupt.com/assets/images/gallery08/5d265266.png?v=0308a4f1,,,
