name,title,company,bio,talk_title,photo_url,twitter,linkedin,year
Paolo Ardoino,CEO,Tether,,,,https://x.com/paoloardoino,,2026
Elizabeth Stark,CEO & Co-Founder,Lightning Labs,,,,https://x.com/starkness,,2026
Adam Back,CEO,Blockstream,,,,https://x.com/adam3us,,2026
Mathias Buus,CEO,Holepunch,,,,https://x.com/mafintosh,,2026
John Carvalho,CEO,Synonym,,,,https://x.com/bitcoinerrorlog,,2026
Samson Mow,CEO,JAN3,,,,https://x.com/Excellion,,2026
Andrew Osheroff,CTO,Holepunch,,,,https://x.com/andrewosh,,2026
Rockstar Dev,Bitcoin Uncle,,,,,https://x.com/r0ckstardev,,2026
Jimmy Song,"Bitcoin Educator, Open-Source Programmer, Author",,,,,https://x.com/jimmysong,,2026
Roy Sheinfeld,CEO,Breez,,,,https://x.com/roy_breez,,2026
Stephan Livera,Bitcoin Podcaster,,,,,https://x.com/stephanlivera,,2026
Joe Nakamoto,"Independent Bitcoin journalist, content creator, MC",,,,,https://x.com/JoeNakamoto,,2026
Juan Sartori,Chief Special Projects Officer,Tether,,,,,,2026
Olaoluwa Osuntokun,CTO and Co-Founder,Lightning Labs,,,,https://x.com/roasbeef,,2026
WantClue,Lead Software Developer,Bitaxe,,,,https://x.com/wantclue,,2026
Dr. Peter Connor,Founder,Scottish Bitcoin Conference,,,,https://x.com/GlasgowBitcoin,,2026
Marc P. Bernegger,Co-Founder,Maximon and Longevity Investors,,,,https://x.com/marcpbernegger,,2026
BTC Sessions,Bitcoin Educator/YouTuber,,,,,https://x.com/BTCsessions,,2026
Nico Moran,Host,Simply Bitcoin,,,,https://x.com/BITVOLT,,2026
Nathan Fitzsimmons,Operations Director,BTC Sessions/BTC Mentor,,,,https://x.com/theBTCmentor,,2026
Darko Gasic,Co-founder,Hodling SA,,,,,,2026
Alexandre Poltorak,Co-founder,Hodling SA,,,,https://x.com/_polto_,,2026
NetDiver,Editor in Chief,21magazine,,,,,,2026
Ioni Appelberg,"Bitcoin Philosopher, Author, Content Creator",,,,,https://x.com/IoniAppelberg,,2026
Michel 'Ketominer',Co-founder,nodl.eu and host4coins.net,,,,https://x.com/ketominer,,2026
Rob Hamilton,Co-Founder,AnchorWatch,,,,https://x.com/Rob1Ham,,2026
"Hubertus ""the Austrian""",Founder,Bitcredit Protocol,,,,https://x.com/HubertusVIE,,2026
Knut Svanholm,Author & Host,Bitcoin Infinity Show,,,,https://x.com/knutsvanholm,,2026
Roosembert Palacios,CTO,Satoshi Connect,,,,,,2026
Saifedean Ammous,"Economist, Author, Bitcoin Educator",,,,,https://x.com/saifedean,,2026
Rahim Taghizadegan,CEO,deedsats.com,,,,https://x.com/scholarium_at,,2026
Jesse Shrader,CEO & Co-Founder,"Amboss Technologies, Inc.",,,,https://x.com/Jestopher_BTC,,2026
Hermann Vivier,Founder,Bitcoin Ekasi,,,,https://x.com/vryfokkenou,,2026
Schnuartz,President Specter Association & Founder,ClavaStack,,,,https://x.com/Schnuartz,,2026
NiftyNei,Founder & Executive Director,bitcoin++ & Base58 School of Engineering,,,,https://x.com/niftynei,,2026
Leon Wankum,"Real Estate Developer, Author, Philosopher",,,,,https://x.com/leonwankum,,2026
Sahil Chaturvedi,Founding Designer,Ark Labs,,,,https://x.com/SahilC0,,2026
Super Testnet,Independent,,,,,https://x.com/supertestnet,,2026
Max Musumeci,"Physicist, Lightning Network Dev/Researcher",Denali,,,,https://x.com/massmux,,2026
Emile Jellinek,Builder,KaleidoSwap & Bitcoin Torino,,,,https://x.com/emilejellinek,,2026
Andrej Majcen,Co-Founder & Group CEO,Bitcoin Suisse,,,,https://x.com/AMajcen_BTCS,,2026
Zana Iseni,Founder & Co-Founder,Mrs. Zatoshi & Satoshi's Daughters,,,,,https://linkedin.com/in/zana-iseni,2026
Mike Peterson,Director,Bitcoinbeach,,,,https://x.com/Bitcoinbeach,,2026
Kilian Rausch,CEO,Boltz,,,,https://x.com/kilrau,,2026
Roman Martinez,Community Leader,Bitcoinbeach,,,,https://x.com/romanmartinezc,,2026
Marco Argentieri,CEO,Ark Labs,,,,https://x.com/tierotiero,,2026
Alena Vranova,Founder,Gart,,,,https://x.com/alenasatoshi,,2026
Walter Maffione,Co-founder & CEO,Kaleidoswap,,,,https://x.com/bit_walt,,2026
Federico Tenga,R&D,Bitfinex,,,,https://x.com/FedericoTenga,,2026
Daniel R,Founder,Inah Citadel,,,,https://x.com/inahcitadel,,2026
Serge Kaulitz,Head DLT/Blockchain & Digital Assets,Luzerner Kantonalbank,,,,https://x.com/SKaulitz68275,,2026
Hulk,Director,GrapheneOS Foundation,,,,,,2026
Kristýna Mazánková,Director,"Master in Bitcoin, Hespérides University",,,,,,2026
Richard Byworth,,BYZ PARTNERS,,,,https://x.com/richardbyworth,,2026
Rony Vogel,CEO,Vogel Family Office Ltd.,,,,https://x.com/rony_vogel,,2026
Bastian,Partner,Fortego,,,,https://x.com/lapistano,,2026
Adrian,Partner,Fortego,,,,https://x.com/byTunikum,,2026
Matteo Ferrante,Lead Research Engineer – BCI,Tether Data,,,,https://x.com/MatteoFerrant20,,2026
Mike Schmidt,Executive Director,Brink,,,,https://x.com/bitschmidty,,2026
Lucas Nobs,Founder,Nohä Fiduciaire SA,,,,https://x.com/nobslucas,,2026
Carlo Lottieri,Professor,Theology Faculty at USI and Pegaso Telematic University,,,,,,2026
Filippo Farenga,Lead,Blox Space,,,,https://x.com/filippofarenga,,2026
