name,title,company,bio,talk_title,photo_url,twitter,linkedin,event,event_year,source_url,notes
Balaji Srinivasan,Founder,The Network State,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a505a4d24f3f665d3f57a_Speaker-Name-Balaji-Srinivasan.avif,https://x.com/balajis,https://www.linkedin.com/in/balajissrinivasan/,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Jeff Yan,CEO,Hyperliquid Labs,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d928b0e8ea8faa85d7e_Speaker-Name-Jeff-Yan.avif,https://x.com/chameleon_jeff,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Adena Friedman,Chair and CEO,Nasdaq,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d896d13fa9fe9e99b7f_Speaker-Name-Adena-Friedman.avif,,https://www.linkedin.com/in/adenatfriedman/,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Eric Trump,Executive VP,The Trump Organization,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d8fb1f4c722d3b8eed5_Speaker-Name-Eric-Trump.avif,https://x.com/EricTrump,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Arthur Hayes,CIO,Maelstrom,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/696dbbe932e0709806b20ed0_Arthur-Hayes.avif,https://x.com/CryptoHayes,https://www.linkedin.com/in/arthur-hayes-b493b42/,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Haseeb Qureshi,Managing Partner,Dragonfly,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a76cb1becb0a80dda470e_Speaker-Name-Hasseb-Qureshi.avif,https://x.com/hosseeb,https://www.linkedin.com/in/imhaseeb/,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Richard Teng,Co-CEO,Binance,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d928b0e8ea8faa85d88_Speaker-Name-Richard-Teng.avif,https://x.com/_RichardTeng,https://ae.linkedin.com/in/richardtengofficial,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Guy Wuollet,General Partner,a16z crypto,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d8fb1f4c722d3b8eee1_Speaker-Name-Guy-Wuollet.avif,https://x.com/guywuolletjr,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Jenny Johnson,CEO,Franklin Templeton,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d928b0e8ea8faa85d94_Speaker-Name-Jenny-Johnson.avif,,https://www.linkedin.com/in/jennyjohnsonfranklintempleton/,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Amy Oldenburg,Head of Digital Asset Strategy,Morgan Stanley,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d8fb1f4c722d3b8eee7_Speaker-Name-Amy-Oldenburg.avif,,https://www.linkedin.com/in/amyoldenburg/,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Zoltan Pozsar,Founder and CEO,Ex Uno Plures,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a506e985cd011b8e67b87_Speaker-Name-Zoltan-Pozsar.avif,,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Charles Hoskinson,Founder and CEO,Input Output Group,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d896d13fa9fe9e99b91_Speaker-Name-Charles-Hoskinson.avif,https://x.com/iohk_Charles,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Rob Hadick,General Partner,Dragonfly,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d896d13fa9fe9e99b97_Speaker-Name-Rob-Hadick.avif,https://x.com/hadickm,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Michael Egorov,Founder,Curve Finance,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d9957ca80377edd3704_Speaker-Name-Michael-Egorov.avif,https://x.com/newmichwill,https://www.linkedin.com/in/michael-egorov/,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Tarun Chitra,Co-Founder and CEO,Gauntlet,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d8fb1f4c722d3b8eee4_Speaker-Name-Tarun-Chitra.avif,https://x.com/tarunchitra,https://www.linkedin.com/in/tarunchitra,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Keone Hon,Co-Founder,Monad Foundation,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d896d13fa9fe9e99b8c_Speaker-Name-Keone-hon.avif,https://x.com/keonehd,https://www.linkedin.com/in/keone-hon/,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
John Wang,Head of Crypto,Kalshi,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d9aa89f5ba2335fbb52_Speaker-Name-John-Wang.avif,https://x.com/j0hnwang,https://www.linkedin.com/in/j0hnwang/,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Jordi Alexander,Founder,Selini Capital,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d928b0e8ea8faa85d8e_Speaker-Name-Jordi-Alexander.avif,https://x.com/gametheorizing,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
TN Lee,CEO,Pendle,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d928b0e8ea8faa85d78_Speaker-Name-TN.avif,https://x.com/tn_pendle,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Santiago Roel Santos,Founder and CEO,Inversion,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d9aa89f5ba2335fbb68_Speaker-Name-Santiago-Roel-Santos.avif,https://x.com/santiagoroel,https://www.linkedin.com/in/santiago-rs/,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Richard Galvin,Executive Chairman and CIO,DACM,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d896d13fa9fe9e99b85_Speaker-Name-Richard-Galvin.avif,https://x.com/richwgalvin,https://www.linkedin.com/in/richard-galvin-b336808/,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Joseph Chalom,CEO,Sharplink,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a391d896d13fa9fe9e99b94_Speaker-Name-Joseph-Chalom.avif,https://x.com/joechalom,https://www.linkedin.com/in/josephchalom/,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
Alexander Good,Founder,Post Fiat,,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a50554d24f3f665d3f1aa_Speaker-Name-Alexander-Good.avif,https://x.com/goodalexander,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/speakers,
