name,title,company,bio,talk_track,photo_url,profile_url,social_links,year,notes
Anton Osika,Co-founder & CEO,Lovable,,,https://web-summit-avenger.imgix.net/production/avatars/original/ccb5c59e56ee7ec3a3170eb8b2df693f495df6e0.jpg,https://websummit.com/attendees/lis25/5377d7b5-93e7-4dc8-b530-4ee8b959ba8b/anton-osika,,2025,"2026 lineup not yet published; captured 2025 (lis25) edition. Partial list — see notes in summary."
Maria Sharapova,Tennis Legend,,,,https://web-summit-avenger.imgix.net/production/avatars/original/0ebdc987d4e3394b90d7e875412a8ac965e9648a.jpg,https://websummit.com/attendees/lis25/ab7dcbcd-6de4-4db3-8ac9-d6b1e434319f/maria-sharapova,,2025,
Alex Schultz,CMO,Meta,,,https://web-summit-avenger.imgix.net/production/avatars/original/a87fdc2aca0437dc2c144a5efd86979613b20295.png,https://websummit.com/attendees/lis25/d22f8452-82be-45ef-bd07-5f1ccd55121a/alex-schultz,,2025,
Cristobal Valenzuela,Founder & CEO,Runway,,,https://web-summit-avenger.imgix.net/production/avatars/original/0cd640ab53dc2d8006707bcd435113459a0f7504.jpg,https://websummit.com/attendees/lis25/53a0a7b3-0f77-434f-a4a0-b2479842c2e7/cristobal-valenzuela,,2025,
Khaby Lame,Influencer & Content Creator,,,,https://web-summit-avenger.imgix.net/production/avatars/original/b189baa05970370b411700329a8c9ff6fd5b55e9.png,https://websummit.com/attendees/lis25/0b5907cd-8c90-4290-89aa-9654eb7e8f82/khaby-lame,,2025,
Michele Catasta,President & Head of AI,Replit,,,https://web-summit-avenger.imgix.net/production/avatars/original/88b34f5ee5b06bdff7a910d62331c2f837442e46.jpg,https://websummit.com/attendees/lis25/4cc4ed5f-28d4-4051-bed1-8519a355543a/michele-catasta,,2025,
Toto Wolff,Team Principal & CEO,Mercedes-AMG PETRONAS F1 Team,,,https://web-summit-avenger.imgix.net/production/avatars/original/067af72a22b5082b744511beba74632caa1f23cd.png,https://websummit.com/attendees/lis25/eaf43de8-fe0d-465e-9dce-e7d66926f362/toto-wolff,,2025,
Nigel Morris,Managing Partner & Co-Founder,QED Investors,,,https://web-summit-avenger.imgix.net/production/avatars/original/1c7e4b6ff13e618b80878f826f02ce417a54f119.png,https://websummit.com/attendees/lis25/bac02eeb-5a49-4dec-9d99-99302148eed1/nigel-morris,,2025,
Jameela Jamil,"Podcast Host, Actress & Activist",,,,https://web-summit-avenger.imgix.net/production/avatars/original/ccd8c70926a25b9c4fb841f8b0d79561ae68f3db.jpg,https://websummit.com/attendees/lis25/191df671-e3ea-40bd-9eed-aa83badb62f2/jameela-jamil,,2025,
Cristiano Amon,President & CEO,Qualcomm,,,https://web-summit-avenger.imgix.net/production/avatars/original/038a0fa0f23695888c6adcbde8d8961ae24b6bf1.jpg,https://websummit.com/attendees/lis25/e6b225d0-11db-40c7-b488-d8963f7b1251/cristiano-amon,,2025,
A.G. Sulzberger,Chairman & Publisher,The New York Times,,,https://web-summit-avenger.imgix.net/production/avatars/original/fc00f4679e7c5e702204304c2d46c89690f4a197.jpg,https://websummit.com/attendees/lis25/6786df2b-c894-481e-ad08-acb90421897a/a.g.-sulzberger,,2025,
Ole Obermann,Global Head of Apple Music,Apple,,,https://web-summit-avenger.imgix.net/production/avatars/original/5b3eb1d75d1d6f6735dd7830e9a2fae90cdba146.jpg,https://websummit.com/attendees/lis25/14f7f53e-f9f4-4d36-9cdc-731134bf7e20/ole-obermann,,2025,
Grace Beverley,CEO & Founder,"TALA, Shreddy & Retrograde",,,https://web-summit-avenger.imgix.net/production/avatars/original/37b6cb1e9e1690984ac083b0bcec882277bfc028.jpg,https://websummit.com/attendees/lis25/d2cb5a23-d47b-4df5-afd7-e6721a046c64/grace-beverley,,2025,
Jesse Zhang,Co-founder & CEO,Decagon AI,,,https://web-summit-avenger.imgix.net/production/avatars/original/aa92065870b17b497e3af0ce06cae310e4694273.jpg,https://websummit.com/attendees/lis25/b9d59835-da73-4139-b446-11dfdd06245a/jesse-zhang,,2025,
