name,tier,website_url,logo_url,description,source_year,source_url
Celo,Title Sponsor,https://celo.org,,"Layer-1 blockchain platform; Title Sponsor of Binance Blockchain Week Dubai 2025.",2025,https://crypto.ro/en/news/binance-blockchain-week-2025/
Solayer,Platinum+ Sponsor,https://solayer.org,,"Platinum+ Sponsor.",2025,https://crypto.ro/en/news/binance-blockchain-week-2025/
NEXPACE,Platinum+ Sponsor,,,"Platinum+ Sponsor.",2025,https://crypto.ro/en/news/binance-blockchain-week-2025/
Mastercard,Partner,https://www.mastercard.com,,"Participating partner; brought traditional finance context to discussions on payment rails, settlement speed, and digital connectivity.",2025,https://www.passionateinmarketing.com/setting-the-stage-binance-announces-first-wave-of-global-speakers-for-blockchain-week-2025/
WalletConnect,Partner,https://walletconnect.com,,"Participating partner; infrastructure focus.",2025,https://www.passionateinmarketing.com/setting-the-stage-binance-announces-first-wave-of-global-speakers-for-blockchain-week-2025/
Ledger,Partner,https://www.ledger.com,,"Participating partner; infrastructure / self-custody focus.",2025,https://www.passionateinmarketing.com/setting-the-stage-binance-announces-first-wave-of-global-speakers-for-blockchain-week-2025/
TON (The Open Network),Partner,https://ton.org,,"Participating partner; infrastructure focus.",2025,https://www.passionateinmarketing.com/setting-the-stage-binance-announces-first-wave-of-global-speakers-for-blockchain-week-2025/
The Sandbox,Partner,https://www.sandbox.game,,"Participating partner; gaming economies focus.",2025,https://www.passionateinmarketing.com/setting-the-stage-binance-announces-first-wave-of-global-speakers-for-blockchain-week-2025/
Yield Guild Games (YGG),Partner,https://www.yieldguild.io,,"Participating partner; gaming economies focus.",2025,https://www.passionateinmarketing.com/setting-the-stage-binance-announces-first-wave-of-global-speakers-for-blockchain-week-2025/
Sei,Partner,https://www.sei.io,,"Participating partner; infrastructure and AI-driven design focus.",2025,https://www.passionateinmarketing.com/setting-the-stage-binance-announces-first-wave-of-global-speakers-for-blockchain-week-2025/
Google Cloud,Partner,https://cloud.google.com,,"Participating cloud provider; scalability and large-scale blockchain systems focus.",2025,https://www.passionateinmarketing.com/setting-the-stage-binance-announces-first-wave-of-global-speakers-for-blockchain-week-2025/
Amazon Web Services (AWS),Partner,https://aws.amazon.com,,"Participating cloud provider; scalability focus.",2025,https://www.passionateinmarketing.com/setting-the-stage-binance-announces-first-wave-of-global-speakers-for-blockchain-week-2025/
Microsoft,Partner,https://www.microsoft.com,,"Participating cloud provider; scalability focus.",2025,https://www.passionateinmarketing.com/setting-the-stage-binance-announces-first-wave-of-global-speakers-for-blockchain-week-2025/
Alibaba Cloud,Partner,https://www.alibabacloud.com,,"Participating cloud provider; scalability focus.",2025,https://www.passionateinmarketing.com/setting-the-stage-binance-announces-first-wave-of-global-speakers-for-blockchain-week-2025/
