name,tier,website,logo_url,description
Treasury,Title,https://www.treasury-btc.com/,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6df0785e69dfbecfcc6f4_treasury_logo.webp,"Europe's pioneering euro-denominated Bitcoin treasury company, bridging traditional finance with the future of digital capital."
Crypto.com,Moon,https://crypto.com/en/index.html,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6f328814dd91e31172f28_crypto-com-reciAqxgD89YeZOvP.png,"Trusted by more than 150 million users worldwide and industry leader in regulatory compliance, security and privacy."
Antalpha,Moon,https://www.antalpha.com,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6efad245fe28546046900_logo_v_color-3x.webp,"Leading fintech providing financing, technology and risk management solutions to institutions in digital assets."
Exodus,Moon,https://www.exodus.com/,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6e885573cb79e78fe4878_exodus-rec5Hn48UdVBRaeWM_EQpXgbQuJ.webp,"Self-custodial wallets enabling secure crypto management since 2015 with seamless swaps, buys, and sells."
Gemini,Moon,https://www.gemini.com/,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6e4ebf81a6a39e047a6c9_gemini-fulllogo-rgb-flare.webp,"Platform founded in 2014 allowing customers to buy, sell, store, and earn cryptocurrencies like Bitcoin and ether."
Bitvavo,Moon,https://bitvavo.com/en,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6e4d63d93823cfdc2987c_bitvavo-recmh0EoenjbJtY8K.webp,"Leading European cryptocurrency trading exchange and largest EUR spot exchange globally, established 2018 in Amsterdam."
Nakamoto,2 Block,https://nakamoto.com,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6e4bd208638d5620432f3_nakamoto-wordmark_green.webp,Bitcoin treasury and financial services company advancing global adoption through capital markets and securitization.
Bitkey,2 Block,https://bitkey.world/,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6e35a9d2d49d9f01528c0_6813cf8ce68bd25229bae58d_bitkey-20logo-20black-20-1-20-20william-20samme.webp,"Self-custody Bitcoin wallet with app, hardware, and recovery tools built by Proto team at Block, Inc."
SALT Lending,2 Block,https://saltlending.com/,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6df057f24158e436ab858_689f9bbea453c3d914c297c2_salt-20logo-20dark.webp,"Changing the way you HODL since 2016, providing treasury management and liquidity services without Bitcoin sale."
Coinlaa,1 Block,https://coinlaa.com/,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6f346f81a6a39e04c601d_coinlaa-logo-f-1.webp,Crypto social network featuring 1000+ AI tools and 200+ specialized agents for Web3 traders and creators.
Cake Wallet,1 Block,https://cakewallet.com,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6f327814dd91e31172f19_cake-wallet-recg4Wc3mTQCC5RJJ.webp,"Easy to hold your own keys with buy/sell fiat conversion, crypto trading, and unmatched privacy features."
Permex Petroleum,1 Block,https://permexpetroleum.com,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6f327814dd91e31172f1c_permexpetroleum_dark-_3_.webp,Junior oil and gas company with operations in Permian Basin and Delaware Sub-Basin focusing on sustainable development.
The Saif House,1 Block,https://thesaifhouse.com/,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6f310d8ca4de6b2c39340_66b01b32-bdcc-479b-a49f-0922f8850f16-ticket-hs_file_upload-logo.webp,"Bitcoin-only publisher dedicated to advancing sound economics through books, courses, and seminars on hard money."
Bitdeer,1 Block,https://www.bitdeer.com/,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6efff97b442ff1b8e9845_bitdeer-recOJrbddB6v4c5RO.webp,World-leading Bitcoin mining service provider offering full range of mining solutions.
Strike,1 Block,https://strike.me,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6e4bd208638d5620432fa_ido8z-nfs8_1762198482568.webp,Global Bitcoin app available in over 100 countries enabling simple fast money transfers starting as little as one cent.
Blockrise,1 Block,https://blockrise.com,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6efad245fe285460468f1_66f5adb4a3abf91f63394bd7_blockrise_logo_fullv_black-20-20jos-20lazet.webp,"Bitcoin treasury provider since 2017 offering custody, trading, asset management, and inheritance with personal service."
Satsuma,1 Block,https://www.satsuma.digital/,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6ec97f81a6a39e0485b91_685c2c3cbc7b29e56f3fc7ae_sat-logo.webp,AI-powered analytical tools company creating trusted convergence point between institutional finance and blockchain.
Primal,1 Block,https://primal.net,https://cdn.prod.website-files.com/68b852e37770c3bed85139ee/69e6ec5987801cbb31b5fc10_primal-logo_white-bg-miljan-braticevic.webp,Most popular Nostr client with built-in Bitcoin wallet functionality.
