name,tier,website,logo_url,description
Metaplanet,Title Sponsor,https://metaplanet.jp/,,
Web3Labs,Strategic Partner,https://web3labs.g-rocket.co/,,
Moon Inc.,Strategic Partner,https://www.1723.hk/,,
Antalpha,Strategic Partner,https://www.antalpha.com,,
Strive,2 Block,https://strive.com,,
SALT Lending,2 Block,https://saltlending.com/btc-2026/,,
NiceHash,1 Block,https://www.nicehash.com,,
Canaan,1 Block,https://canaan.io/,,
Cake Wallet,1 Block,https://cakewallet.com,,
Syz Capital,1 Block,https://syzcapital.com/,,
Unistar,1 Block,https://www.unistarminer.com,,
Passey,1 Block,https://passey.xyz/,,
Turingbitchain,1 Block,https://tbc.top/,,
Nomad Capitalist,1 Block,https://nomadcapitalist.com/,,
JH Marlin Global,1 Block,https://www.jhmarlinglobal.com,,
Satori Coin,1 Block,https://satoricoin.com,,
Bitdeer,1 Block,https://www.bitdeer.com/,,
Bitkern Group,1 Block,https://www.bitkern.com/en,,
"Hangzhou CADRO Computing Technology Co., Ltd.",1 Block,https://drolin-box.com/,,
Starknet,1 Block,https://www.starknet.io/,,
ReWallet AG,1 Block,https://rewallet.com,,
KeychainX,1 Block,https://keychainx.io,,
"EMCD (Top-10 Mining Pool, Coinhold, P2P)",1 Block,https://emcd.io,,
Allconfsbot,Community Partner,https://allconfsbot.website,,
Amphi,Community Partner,https://x.com/amphixspace,,
Barcelona Bitcoin Hub,Community Partner,https://satlantis.io/c/85/Barcelona-Bitcoin-Hub,,
BD VENTURES,Community Partner,https://bdventures.vn,,
Bitcoin Mondays,Community Partner,https://t.me/miamibitcoinforever/213763,,
Bitcoin News,Community Partner,https://bitcoinnews.ch,,
Bitcoin Runners,Community Partner,https://bitcoinrunners.org/,,
Bitcoin Students Network,Community Partner,https://x.com/btcstudents,,
Chart Coffee,Community Partner,https://instagram.com/chartcoffee,,
Cyberport HK,Community Partner,https://cyberport.hk,,
Delgado's Fuego,Community Partner,https://delgadosfuego.com/pages/btc,,
DroomDroom,Community Partner,https://droomdroom.com,,
Lets Connect,Community Partner,https://x.com/letsconnectco,,
Monsterblockhk,Community Partner,https://monsterblockhk.com,,
Pivot,Community Partner,https://x.com/0xPivot_,,
Venture Capital Community,Community Partner,https://t.me/venturecapitalcommunity,,
