name,tier,website,logo_url,description,year,event,source_url
"Marathon Digital Holdings (MARA)","Title","https://www.mara.com","https://static.wixstatic.com/media/5b61ba_6169ff0a40354c5991da3de57f499e64.png","","2025","Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/sponsors"
"Riot Platforms","Gold","https://www.riotplatforms.com","https://static.wixstatic.com/media/dea30a_ff9ba308a6b2447785d86eb9e4ad5841.png","","2025","Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/sponsors"
"Bitdeer","Gold","https://www.bitdeer.com","https://static.wixstatic.com/media/dea30a_444f7cc0cc9a43d8bc25f4a7a93b18d8.png","","2025","Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/sponsors"
"Galaxy","Gold","https://www.galaxy.com","https://static.wixstatic.com/media/e8e7bd_303f419fcac5405f85d1cd839bc57ca2.png","","2025","Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/sponsors"
"Human Rights Foundation","Gold","https://hrf.org","https://static.wixstatic.com/media/e8e7bd_97a5b726abcb4c0c8094197393559409.png","","2025","Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/sponsors"
"Exodus","Gold","https://www.exodus.com","https://static.wixstatic.com/media/5b61ba_2295168f93aa45fab91a81d8dadbd18b.png","","2025","Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/sponsors"
"CleanSpark","Gold","https://www.cleanspark.com","https://static.wixstatic.com/media/e8e7bd_155b6bb6b29644d4b46b578654764497.png","","2025","Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/sponsors"
"Unchained","Gold","https://www.unchained.com","https://static.wixstatic.com/media/dea30a_8e41481a578c4c65a8fb9aa680ac3a66.png","","2025","Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/sponsors"
"TeraWulf","Gold","https://www.terawulf.com","https://static.wixstatic.com/media/dea30a_a300a2ec32a7443eb701322805bf418c.png","","2025","Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/sponsors"
"Ledger","Gold","https://www.ledger.com","https://static.wixstatic.com/media/5b61ba_0ae4a18f8fc240b8986ae79c8b014a09.png","","2025","Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/sponsors"
