name,tier,website_url,logo_url,description
American Bitcoin,Title,https://www.abtc.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68f70d0b552e98e2c58db6de_american%20BTC.png,
Thrust,Title,https://thrust.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68eee15e583402799529df49_thrust.png,
basketball.fun,Title,https://www.basketball.fun/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68f5ca553f65034b70ca8d29_basketball%20fun.png,
PTT (Peace Through Trade),Platinum & Gold,https://zdkl.online/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68bef2d7428f2b40c62492a5_ptt.png,
Argentum AI,Platinum & Gold,https://argentum-ai.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68eeec69a7cf8c60d615f8a4_argentum.png,
Brave,Platinum & Gold,https://brave.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68cc6468f8d61685832d7dea_brave.png,
Tangem,Platinum & Gold,https://tangem.com/en/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6882a53b876b860e28a5bf72_tangem.png,
Optio,Platinum & Gold,https://optio.community,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68cbaa43ca5c9415efb1f575_optio.png,
Nexa,Platinum & Gold,https://nexa.org/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68cc6468f21e284d2b5ba96e_nexa.png,
Digital Spenders Club,Platinum & Gold,https://www.spenders.club/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68dbe231c5239313861827be_DSL.png,
Cayman Finance,Platinum & Gold,http://caymanfinance.ky/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68cbaa43ba523cfe53a4f6ba_cayman%20finance.png,
DeLorean Labs,Platinum & Gold,https://deloreanlabs.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/680ad070f12383cf943aa23a_delorean.png,
Venus Ventures,Platinum & Gold,https://www.spatial.io/s/Venusventures-Metaverse-Ecosystem-Main-Arena-65b410ab26a6360c2c4b4ce7?share=716612250724116910,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68eeda126200a9159888f69b_venus%20ventures.png,
Champion AI,Platinum & Gold,https://www.wearechampionai.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6900d6d5738b0181eaa9f7dc_champion%20AI.png,
SheFi,Platinum & Gold,https://www.shefi.org/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6900d6d69f42acf609127981_shefi.png,
Genzio,Platinum & Gold,https://www.genzio.co/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/67d742807a06f7f4f69e8d59_genzio.png,
CryptoCurrencyWire,Platinum & Gold,https://www.cryptocurrencywire.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/67d7428025c4c8e654e65026_ccw.png,
Investor Brand Network,Platinum & Gold,https://www.investorbrandnetwork.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/664ace6e80f29be2b0f87e81_ibn.png,
FemTech / The Wright Success,Platinum & Gold,http://thewrightsuccess.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68eee7bf1af6310189c41047_femtech.png,
CreateHER Fest,Platinum & Gold,https://www.createherfest.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68f5cbcce5402543f8b7a428_createherfest.png,
Shib.io,Platinum & Gold,https://shib.io/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6882aa56b5d54a1bab4604d0_shib.io.png,
Sleap.io,Platinum & Gold,https://sleap.io/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/67da1c74054942d76dedeefd_sleap.io.png,
Blockchain North,Platinum & Gold,https://blockchainnorth.ca/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/67d742819b9cdd619b7ff09c_Blockchain%20North.png,
Eukapay,Platinum & Gold,https://eukapay.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/67db4653bdb0a6265a7129fb_eukapay.png,
Coinbound,Platinum & Gold,http://coinbound.io/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68e3f68702f681ef91a51a4f_coinbound.png,
VirgoCX,Silver & Bronze,https://virgocx.ca/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68dbe1f8d5dae5fbc7abbf9c_virgo.png,
Recognizant,Silver & Bronze,http://recognizant.io/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68e3fff416da78274b1a8919_re%20cog%20nizant.png,
Trusted Smart Chain,Silver & Bronze,https://t7x.io/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68e3f7da0e0d3f8689d74c21_trusted%20smart%20chain.png,
Crypto Coin Show,Silver & Bronze,https://cryptocoinshow.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6900d6d519b72981b0e92047_crypto%20coin%20show.png,
Angel AI,Silver & Bronze,https://www.angelai.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6900d6d6885ef675f9b19f70_angelAI.png,
Palladium Network,Silver & Bronze,https://plld.net,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68d401fb45431b69ca7fb48c_palladium.png,
Truflation,Silver & Bronze,http://truflation.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/67e541ef4faf980cea1b52a4_truflation.png,
DAO Utah,Silver & Bronze,,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6898aa255dec567d1c920153_dao%20utah.png,
BVI Finance,Silver & Bronze,http://bvifinance.vg/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68bef564aa22ce4a5539540d_BVI%20finance.png,
Ault Capital,Silver & Bronze,https://aultcapitalgroup.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68dbe39252425f34560a08d4_ault%20capital.png,
KWARXS,Silver & Bronze,http://kxs-bay.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68dbe41fdb81c548deb3fa93_kwarxs.png,
Meanwhile,Silver & Bronze,http://meanwhile.bm/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68b0be541851d844f61bc849_meanwhile.png,
Gen3,Silver & Bronze,http://gen3mag.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6900d6d6eda7412b1b59ee58_gen3.png,
