name,tier,website,logo_url,description
Minersloop,Innovators,https://minersloop.com,https://btchel.com/wp-content/uploads/2025/12/Minerslopp-white-1024x341.jpg,
Coinmotion,Innovators,https://coinmotion.com,https://btchel.com/wp-content/uploads/2025/12/CM-white-1024x341.jpg,
Bull Bitcoin,Innovators,https://bullbitcoin.com,https://btchel.com/wp-content/uploads/2025/12/bullblack-1024x341.jpg,
Terahash,Innovators,https://terahash.space/en/,https://btchel.com/wp-content/uploads/2026/03/Terahash-logo-1024x341.jpg,
Ocean,Innovators,https://ocean.xyz/,https://btchel.com/wp-content/uploads/2026/06/Ocean-white-png-1024x341.jpg,
EBEA,Innovators,https://ebea.work/,https://btchel.com/wp-content/uploads/2026/06/EBEA-white-1024x341.jpg,
Bitsurance,Early Adopters,https://bitsurance.eu,https://btchel.com/wp-content/uploads/2025/12/bitsurancewhiteblack-1024x341.jpg,
Trezor,Early Adopters,https://trezor.io/,https://btchel.com/wp-content/uploads/2026/03/Trezor-logo-1024x341.jpg,
Liberation Travel,Majority,https://liberation.travel/,https://btchel.com/wp-content/uploads/2026/06/Liberation-Travel-1024x341.jpg,
Bitvocation,Media Partners,https://bitvocation.com/,https://btchel.com/wp-content/uploads/2026/03/Bitvocation-white-1024x341.png,
Bitcoin Only Events,Media Partners,https://bitcoinonly.events/,https://btchel.com/wp-content/uploads/2026/03/Bitcoinonly-events-white-1024x341.png,
