name,tier,website,logo_url,description,source_year
bithumb,Partner (2025),https://www.bithumb.com,https://framerusercontent.com/images/pCMq2BMi31cFraSwf2AEyGyM2w.png?scale-down-to=512&width=619&height=153,,2025
sui,Partner (2025),https://sui.io,https://framerusercontent.com/images/rlZXon9FwZf5aBrAk32tqvfShc.svg?scale-down-to=512&width=20000&height=10723,,2025
stable,Partner (2025),https://stable.xyz,https://framerusercontent.com/images/9T8GmI4zi5wJu9zYU74XUQNmww.svg?width=194&height=50,,2025
0g,Partner (2025),https://0g.ai,https://framerusercontent.com/images/0GZ0w7tm7Qxcl0MBHTO9ZGOPdI0.svg?scale-down-to=512&width=4000&height=1312,,2025
brvcapital,Partner (2025),https://brvcapital.com/,https://framerusercontent.com/images/fBYQdDgrTeP5fqO28WFY8w07s.png?scale-down-to=512&width=740&height=280,,2025
americanbitcoin,Title,https://americanbitcoin.com,https://framerusercontent.com/images/37kwYnQD3QJ35UsZKdOzcwsDc.png?scale-down-to=512&width=1065&height=480,,2025
peaq,Title,https://www.peaq.network,https://framerusercontent.com/images/Tzpe8DSRciJSkKo1uj7TTqx7M.png?scale-down-to=512&width=1057&height=480,,2025
hack,Title,https://hack.vc,https://framerusercontent.com/images/85jSY7Esh1xuTmWdB2AdMzyIKAA.png?scale-down-to=512&width=1055&height=480,,2025
gaiaprotocol,Title,https://gaiaprotocol.com,https://framerusercontent.com/images/42zrZHQMUvLxEDNsy3yTrAWWMA.png?scale-down-to=512&width=1057&height=480,,2025
spacecoin,Title,https://spacecoin.network,https://framerusercontent.com/images/QrQJUvRg9I0JV5iyy9zJ5am1nc.png?scale-down-to=512&width=1057&height=480,,2025
dogeos,Title,https://dogeos.io,https://framerusercontent.com/images/SR9dUeVO8xryoDve4mwOldZEGf4.png?scale-down-to=512&width=1057&height=480,,2025
plumenetwork,Title,https://plumenetwork.xyz,https://framerusercontent.com/images/0DN4PwzRnQu186fHsalub8Tb8E.svg?width=266&height=122,,2025
orbt,Title,https://www.orbt.xyz/,https://framerusercontent.com/images/wQJ33deRPjDE2HRe2x2ndqkpT0.png?scale-down-to=512&width=1057&height=480,,2025
tron,Diamond,https://tron.network/,https://framerusercontent.com/images/Hp1hV8bj4ZF0RDrhzsNdRj53p0s.png?scale-down-to=512&width=1064&height=480,,2025
saharalabs,Diamond,https://www.saharalabs.ai/,https://framerusercontent.com/images/0PAlaQIKBB1mW10CLHCQIJc6A.png?scale-down-to=512&width=1056&height=480,,2025
uxlink,Gold,https://www.uxlink.io/,https://framerusercontent.com/images/Bhm9N6XySXP15b5w3UToeKt6LQQ.png?scale-down-to=512&width=766&height=352,,2025
chiliz,Gold,https://www.chiliz.com/,https://framerusercontent.com/images/G4ipjohiTX0UuP3GZSMzuUZ7mfk.png?scale-down-to=512&width=775&height=352,,2025
enso,Gold,https://www.enso.finance/,https://framerusercontent.com/images/rnnlWaoos6BVpvMJ4FvYAJc64.png?scale-down-to=512&width=775&height=352,,2025
sign,Gold,https://sign.global/,https://framerusercontent.com/images/SdrKkaSFUwHgkFvM97dUGb7H7E.png?scale-down-to=512&width=775&height=352,,2025
babyboomtoken,Gold,https://babyboomtoken.com/,https://framerusercontent.com/images/75JcD14U8HYM9NgCyXuDp5SMGVc.png?scale-down-to=512&width=775&height=352,,2025
superior,Gold,https://superior.one/,https://framerusercontent.com/images/vMPi680Fgaczo9zjzp136nBR7dY.png?scale-down-to=512&width=775&height=352,,2025
eigenlayer,Gold,https://www.eigenlayer.xyz/,https://framerusercontent.com/images/SOY1vYB3DwcnPGGI7XcS49TQI.png?scale-down-to=512&width=775&height=352,,2025
sktelecom,Gold,https://www.sktelecom.com/,https://framerusercontent.com/images/jr0vAcKWz0TwFc0Vyrs1qRCIA.png?scale-down-to=512&width=775&height=352,,2025
soo,Silver,https://soo.network/,https://framerusercontent.com/images/jL7emSU6XaN41FfKhP2MokqH0E.png?scale-down-to=512&width=775&height=352,,2025
roam,Silver,https://www.roam.network/,https://framerusercontent.com/images/83SLONC0OL2u1AveM4Ictc6KL2A.png?scale-down-to=512&width=775&height=352,,2025
io,Silver,https://io.net/,https://framerusercontent.com/images/YEZLMMSMTAOmRJ76W3e1iCIlgfY.png?scale-down-to=512&width=775&height=352,,2025
layerzero,Silver,https://layerzero.network/,https://framerusercontent.com/images/SAtIy9OxA0YXLeM7MtO4osOK0.png?scale-down-to=512&width=775&height=352,,2025
bydfi,Silver,https://www.bydfi.com/,https://framerusercontent.com/images/PXCIHj8WNKlyQus0g0W1eJQR8.png?scale-down-to=512&width=775&height=352,,2025
payprotocol,Silver,https://www.payprotocol.io/,https://framerusercontent.com/images/XfLDwEgFYCIfmgotFWrYbNmU.png?scale-down-to=512&width=775&height=352,,2025
fractionai,Silver,https://fractionai.xyz/,https://framerusercontent.com/images/bIxQEj439Cb7xhijCmHvy1nQAIQ.png?scale-down-to=512&width=775&height=352,,2025
avax,Silver,https://www.avax.network/,https://framerusercontent.com/images/rPllW1FoT0BBU6VZZnk7EpDBes.png?scale-down-to=512&width=775&height=352,,2025
news,Silver,https://news.bitcoin.com/,https://framerusercontent.com/images/cBdV6HrU7UUQasWp1C5nprWCv7c.png?scale-down-to=512&width=775&height=352,,2025
sharpstechnology,Silver,https://sharpstechnology.com/,https://framerusercontent.com/images/y4npNmZGXTTSIDKkABC0ephivM4.png?scale-down-to=512&width=775&height=352,,2025
kto,Silver,https://kto.visitkorea.or.kr/,https://framerusercontent.com/images/FEBU4wuDR2elM5eVfmERsRg694Y.png?scale-down-to=512&width=775&height=352,,2025
rialo,Silver,https://www.rialo.xyz/,https://framerusercontent.com/images/IoQCkhZrThaug6etQ3JSEyki6Fw.png?scale-down-to=512&width=775&height=352,,2025
aultblockchain,Silver,https://aultblockchain.com/,https://framerusercontent.com/images/TgBkX3eIsupMp0y8VAWbQb18Kk.png?scale-down-to=512&width=775&height=352,,2025
plumenetwork,Silver,https://www.plumenetwork.xyz/,https://framerusercontent.com/images/VW4ImKrT4I3dD3jkZSXKjLTqDgU.png?scale-down-to=512&width=775&height=352,,2025
neura-ai,Silver,http://www.neura-ai.io/,https://framerusercontent.com/images/lHaCb32pyCsUcJmAC8CJHXSAzaM.png?scale-down-to=512&width=775&height=352,,2025
coindesk,Silver,https://www.coindesk.com/,https://framerusercontent.com/images/3v1DzgBqp5cq1l9ER03jNdBcbPg.png?scale-down-to=512&width=775&height=352,,2025
chain,Bronze,https://chain.link/,https://framerusercontent.com/images/E5ek0QiTlZ5c5zoIKUK6ZB7vhg.png?scale-down-to=512&width=634&height=288,,2025
soniclabs,Bronze,https://www.soniclabs.com/,https://framerusercontent.com/images/P36IyS2Z72GHhJpjKG4ZoW1h334.png?scale-down-to=512&width=634&height=288,,2025
cronos,Bronze,https://cronos.org/,https://framerusercontent.com/images/ozZncYkEjckVYrQN4SGZbdoek.png?scale-down-to=512&width=634&height=288,,2025
openledger,Bronze,https://openledger.xyz/,https://framerusercontent.com/images/BQVrDM92CbG10dZpo5iiLuV2M.png?scale-down-to=512&width=634&height=288,,2025
bitlayer,Bronze,https://www.bitlayer.org/,https://framerusercontent.com/images/kzNR0zKcPMDmIGUs4ILgy0CxYk8.png?scale-down-to=512&width=634&height=288,,2025
mew,Bronze,https://mew.xyz/,https://framerusercontent.com/images/JZpX8TaEemNJRSZMiiVjBa9Xc.png?scale-down-to=512&width=634&height=288,,2025
coinmarketcap,Bronze,https://coinmarketcap.com/,https://framerusercontent.com/images/MERwvpqkshy9odStnkDIHF832ds.png?scale-down-to=512&width=634&height=288,,2025
cheems,Bronze,https://www.cheems.pet/,https://framerusercontent.com/images/clh5ZpkLZyDbUrV7MNAFulgN5o.png?scale-down-to=512&width=634&height=288,,2025
coinpickle,Bronze,https://coinpickle.com/,https://framerusercontent.com/images/KBMg2jf5DuzEkoiykAHEoOy9w04.png?scale-down-to=512&width=634&height=288,,2025
coinpost,Bronze,https://coinpost.jp/,https://framerusercontent.com/images/Cln7u3UMFtYaWLI96wQ8Lhbs5E.png?scale-down-to=512&width=634&height=288,,2025
gaib,Bronze,https://www.gaib.ai/,https://framerusercontent.com/images/cixXgYk9EAw7noRY3l6v2HtwRis.png?scale-down-to=512&width=634&height=288,,2025
orbs,Bronze,https://www.orbs.com/,https://framerusercontent.com/images/miLlLT0nEEEOzUsBRGxeiZfMHM.png?scale-down-to=512&width=634&height=288,,2025
bladerite,Bronze,https://bladerite.io/,https://framerusercontent.com/images/8vriDd78ielX3YTWcatkqWaPQY.png?scale-down-to=512&width=634&height=288,,2025
web3festival,Bronze,https://www.web3festival.org/,https://framerusercontent.com/images/3kI6u5q2By7soLcwamYmUIHqBAY.png?scale-down-to=512&width=634&height=288,,2025
sollong,Bronze,https://sollong.xyz/,https://framerusercontent.com/images/JxuvZc4TEOIXWtNm8Z2QtuJuv7k.png?scale-down-to=512&width=634&height=288,,2025
sidekick,Bronze,https://sidekick.fans/,https://framerusercontent.com/images/LiPMmQcRvmBNmxBPDlwv90513Xo.png?scale-down-to=512&width=634&height=288,,2025
recall,Bronze,https://recall.network/,https://framerusercontent.com/images/jMHXJCGQnslmkfLcbYzK15JRs.png?scale-down-to=512&width=634&height=288,,2025
xion,Bronze,https://xion.burnt.com/,https://framerusercontent.com/images/U6UgKvAi8zyxCCRNpWh6Kcos.png?scale-down-to=512&width=634&height=288,,2025
okx,Bronze,https://www.okx.com/,https://framerusercontent.com/images/qqfQfnR6I3oyio8Ok1SrjIlodM.png?scale-down-to=512&width=634&height=288,,2025
anoma,Bronze,https://anoma.net/,https://framerusercontent.com/images/JkDBVdygQFgcxwJk6SoPgza3AVM.png?scale-down-to=512&width=634&height=288,,2025
psy,Bronze,https://psy.xyz/,https://framerusercontent.com/images/ZZfdIGmxfXgtYZ1MXUGKc3gcgU.png?scale-down-to=512&width=634&height=288,,2025
xter,Bronze,https://xter.io/,https://framerusercontent.com/images/HDfwC4XOdTDUBGpzzEhociupyk.png?scale-down-to=512&width=634&height=288,,2025
gokite,Bronze,https://gokite.ai/,https://framerusercontent.com/images/Gq2cZgsKcjtzxGJ6U00HVVDA.png?scale-down-to=512&width=634&height=288,,2025
walrus,Bronze,https://walrus.xyz/,https://framerusercontent.com/images/AAEXO8V4ovhCFMPhWMVP66hACsg.png?scale-down-to=512&width=634&height=288,,2025
altlayer,Bronze,https://altlayer.io/,https://framerusercontent.com/images/Z9sQrBo2zopeeHlqVVgXW13eOUY.png?scale-down-to=512&width=634&height=288,,2025
orderly,Bronze,https://orderly.network/,https://framerusercontent.com/images/PUGfOej4tICuvPK3eukQJQ8rk.png?scale-down-to=512&width=634&height=288,,2025
tina,Bronze,https://tina.im/,https://framerusercontent.com/images/eMJt9UYU1ZZ8A2xUzGsEb36GU.png?scale-down-to=512&width=634&height=288,,2025
metis,Bronze,https://www.metis.io/,https://framerusercontent.com/images/DGWVvQMoDyfgPIa5PLAWPNBKrTY.png?scale-down-to=512&width=634&height=288,,2025
goat,Bronze,https://www.goat.network/,https://framerusercontent.com/images/wYENep2bUnFcHnAflkB8QDruhbE.png?scale-down-to=512&width=634&height=288,,2025
alignedlayer,Bronze,https://alignedlayer.com/,https://framerusercontent.com/images/pV5SnTrmMOIrBp77ony3ZsiRPI.png?scale-down-to=512&width=634&height=288,,2025
antix,Bronze,https://www.antix.ws/,https://framerusercontent.com/images/BTKPBtliQL06796CG6Kfms94HfI.png?scale-down-to=512&width=634&height=288,,2025
estatex,Bronze,https://www.estatex.eu/,https://framerusercontent.com/images/2j0VViuyA25jWeT94rtyCd9CBo.png?scale-down-to=512&width=634&height=288,,2025
aptoslabs,Bronze,https://aptoslabs.com/,https://framerusercontent.com/images/tDSMre2shNb6Qbsp0dl2q1w3hNE.png?scale-down-to=512&width=634&height=288,,2025
awe,Bronze,https://www.awe.box/,https://framerusercontent.com/images/PSRnsEVtYZajBe1Vxy6VfGf933A.png?scale-down-to=512&width=634&height=288,,2025
