name,tier,website,logo_url,description
Antalpha Prime,Tera,https://prime.antalpha.com/en-us/,,
Elektron Energy,Tera,https://elektronenergy.io/,,
Hive Digital Technologies,Tera,https://www.hivedigitaltechnologies.com/,,
Intelliflex,Tera,https://intelliflex.io/,,
AgriFORCE,Giga,https://agriforcegs.com/,,
Canaan,Giga,https://www.canaan.io/,,
DataAirflow,Giga,https://dataairflow.com/,,
DreamMiner,Giga,https://www.dreamminer.net/,,
Foundry Digital,Giga,http://foundrydigital.com/,,
IceRiver,Giga,https://www.iceriver.io/,,
MicroBT,Giga,http://microbt.com/,,
MOD 42,Giga,https://www.mod42llc.com/,,
Tictacc,Giga,http://www.tictacc.cn/pc/,,
Apexto Mining,Mega,https://apextomining.com/,,
ASIC Repair Parts,Mega,https://asicrepairparts.com/,,
Auradine,Mega,https://auradine.com/,,
Bitdeer,Mega,https://www.bitdeer.com/,,
Bitmars,Mega,http://bitmars.io/,,
Compass Mining,Mega,https://compassmining.io/,,
Elektron Energy,Mega,https://www.elektron-energy.com/,,
Evertas,Mega,https://evertas.com/,,
Genesis Digital Assets,Mega,https://genesisdigitalassets.com/,,
Hiveon,Mega,https://hiveon.com/,,
Jenbacher,Mega,https://www.jenbacher.com/en/,,
JSBit,Mega,https://www.jsbit.com/,,
Meanwhile,Mega,https://meanwhile.bm/,,
MegaMiner,Mega,http://megaminer.market/,,
Ocean,Mega,https://ocean.xyz/,,
PlebSource,Mega,https://plebsource.com/,,
Solo Satoshi,Mega,https://www.solosatoshi.com/,,
TerraHosting,Mega,https://terrahosting.io/,,
VolcMiner,Mega,https://www.volcminer.com/,,
Wright Fan,Mega,https://wrightfan.com/,,
Abundant Mines,Kilo,https://abundantmines.com/,,
AceHost,Kilo,https://www.acehost.com/,,
ASIC Ark,Kilo,https://www.asicark.com/,,
ASLMiner,Kilo,https://aslminer.com/,,
Bitcoin Art Gallery,Kilo,https://bitcoinartgallery.com/,,
Bitcoin Mining Museum,Kilo,https://bitcoinminingmuseum.com/,,
BitKern,Kilo,https://www.bitkern.com/en/,,
Boundary Electric,Kilo,https://www.boundaryelectric.com/,,
Braiins,Kilo,https://braiins.com/,,
DCE Miner,Kilo,https://dceminer.com/,,
Dry Coolers,Kilo,https://drycoolers.com/,,
Easy2Mine,Kilo,https://easy2mine.io/,,
FarmGod,Kilo,https://farmgod.io/,,
FBOX Data,Kilo,https://www.fboxdata.com/,,
Ferveret,Kilo,https://www.ferveret.com/,,
Fog Hashing,Kilo,https://foghashing.io/,,
Foreman,Kilo,https://foreman.mn/,,
GekkoScience,Kilo,https://www.gekkoscience.com/,,
Goldshell,Kilo,https://www.goldshell.com/,,
GreenHash,Kilo,http://greenhash.tech/,,
H2Data,Kilo,https://h2data.net/,,
Hash-Cycle,Kilo,https://hash-cycle.com/,,
HashWhale,Kilo,https://www.hashwhale.io/,,
K&K Data Services,Kilo,https://www.kkdatasvc.com/,,
LeedMiner,Kilo,https://www.leedminer.com/,,
Letine Mining,Kilo,https://www.letinemining.com/,,
Maddox Transformer,Kilo,https://www.maddoxtransformer.com/,,
Moonshot,Kilo,https://moonshotus.com/,,
Nervos Foundation,Kilo,https://www.nervos.org/,,
NuEnerGen,Kilo,https://www.nuenergen.com/,,
Paystand,Kilo,https://www.paystand.com/,,
RepairBit,Kilo,https://repairbit.io/,,
Revolve Labs,Kilo,https://www.revolvelabs.ai/,,
Soqu,Kilo,https://soqucoin.com/,,
Unistar,Kilo,https://www.unistarminer.com/,,
ViaBTC,Kilo,https://www.viabtc.com/,,
Wekos,Kilo,https://www.wekos.net/,,
AceMiners,Byte,https://aceminers.io/,,
Altair Tech,Byte,https://altairtech.io/,,
Amplink Tech,Byte,https://www.amplinktech.com/crypto-mining-infrastructure.html/,,
ANEN Connector,Byte,https://www.anen-connector.com/,,
APIs Logik,Byte,https://www.apislogik.com/,,
ASIC Jungle,Byte,https://asicjungle.com/,,
Asic Plug,Byte,https://asicplug.com/,,
Aspect Blockchain,Byte,https://www.aspectblockchain.com,,
BitCluster,Byte,https://bitcluster.com/,,
Bitcoin Ben,Byte,https://bitcoinben.io/,,
Bitcoin Butik,Byte,https://bitcoinbutik.com/,,
BitFuFu,Byte,https://www.bitfufu.com/,,
Bitmain,Byte,https://www.bitmain.com/,,
BitProit,Byte,https://bitproit.com/,,
Camfil,Byte,https://www.camfil.com/en-us/,,
CBIZ,Byte,https://www.cbiz.com/,,
Chain Reaction,Byte,https://chain-reaction.io/,,
Cholla,Byte,https://chollainc.com/,,
Coinbase Asset Management,Byte,https://cbam.coinbase.com/,,
CPower Energy,Byte,https://cpowerenergy.com/,,
CryptoLogistics,Byte,https://cryptologistics.com/,,
Digital Shovel,Byte,http://digitalshovel.com/,,
DMG Blockchain,Byte,https://www.dmgblockchain.com/,,
EMCD,Byte,https://emcd.io/,,
Enel,Byte,https://www.enel.com/,,
Eon Digital,Byte,https://eon-digital.co/,,
Epic Blockchain,Byte,https://epicblockchain.io/,,
Everminer,Byte,https://everminer.io/,,
Fluxx,Byte,https://www.fluxx.io/,,
Fooksum,Byte,https://www.fooksum.com/,,
Gridmatic,Byte,https://www.gridmatic.com/,,
Kaboom Racks,Byte,https://kaboomracks.com/,,
Kesco Logistics,Byte,https://www.kescologistics.com/,,
Lenzo,Byte,https://lenzo.co.jp/,,
Lian Li Work,Byte,https://www.lianliwork.com/,,
LOD,Byte,https://lod.io/,,
Luxor,Byte,https://luxor.tech/,,
MIM Farm,Byte,https://mim.farm/,,
New West Data,Byte,https://newwestdata.com/,,
Novomod,Byte,https://novomod.com/,,
OBM,Byte,https://obm.io/miners/,,
OIA Global,Byte,https://www.oiaglobal.com/,,
PowerPool,Byte,https://powerpool.io/,,
Print Crypto,Byte,https://printcrypto.io/,,
