name,tier,website,logo_url,description,event,event_year,source_url,notes
OKX,Title Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a81d16557c2a7d41bcc34_OKX.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
Sui,Title Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a81d0229b43e91e7018f7_Sui.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
BloFin,Title Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a81de045178585d1c992c_BloFin.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
Mesh,Title Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a81de045178585d1c9929_Mesh.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
BingX,Title Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a81d9af4b46759c2143f6_BingX.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
TRON,Title Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a81d9af4b46759c2143f9_TRON.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
MEXC,Platinum Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a859c4ef93b29c09fd5d0_MEXC.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
Auros,Platinum Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a85904730427b9108700e_Auros.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
DWF Labs,Platinum Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a858e4ef93b29c09fcc66_DWF-Labs.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
Toobit,Platinum Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a859c4ef93b29c09fd5cd_Toobit.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
ChangeNOW,Platinum Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a85955dda6dc9384538d8_ChangeNOW.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
WEEX,Platinum Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a859c4ef93b29c09fd5d4_WEEX.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
a16z crypto,Gold Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a88e35dda6dc938489b33_a16zcrypto.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
Binance,Gold Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a88eb527447b6db158e3f_Binance.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
Circle,Gold Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a88efbec88c50679761d7_Circle.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
Ledger,Gold Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a8938fe8300bab06b16d6_Ledger.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
Avelacom,Gold Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a88ed853d800f451aba0f_Avelacom.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
Bitpanda,Gold Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a891b5dda6dc93848ca3e_Bitpanda.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
Bitunix,Gold Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a890644c42defed12df7f_Bitunix.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
CertiK,Gold Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a890957d96d71b20bfe65_Certik.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
ChainUp,Gold Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a88fde01d7a219fbd5721_Chainup.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
Incode Technologies,Gold Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a88f6988b6014c206e938_Incode.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
JPEG Trading,Gold Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a88f1df60cf2f8a02e12b_JPEG-Trading.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
MSX,Gold Sponsor,,https://cdn.prod.website-files.com/6756df8f05088bc3e51c64ea/6a3a893e988b6014c2072874_MSX.png,,TOKEN2049 Singapore,2026,https://www.token2049.com/singapore/partners,Confirmed 2026 sponsor
