name,tier_category,website_url,profile_url,logo_url,description,year,notes
IBM,AI & machine learning,,https://websummit.com/appearances/lis25/fb8ab8b0-17f2-4686-b336-d189c2c9d605/ibm,,,2025,"Tier shown is industry category (site groups partners by industry, not by sponsorship level). 2026 lineup not yet published; captured 2025 (lis25) partner directory."
Visa,Fintech & financial services,,https://websummit.com/appearances/lis25/7efc9f5c-5d94-44ba-8761-5d5809d22dd5/visa,,,2025,
Replit,SaaS,,https://websummit.com/appearances/lis25/,,,2025,"profile UUID not captured"
Huawei,Telecommunications & IT,,https://websummit.com/appearances/lis25/e1ea4f64-989c-4070-9110-380d594bab86/huawei,,,2025,
LinkedIn,SaaS,,https://websummit.com/appearances/lis25/13248e31-9820-4076-9e84-5ee87b5d8b3b/linkedin,,,2025,
Datadog,SaaS,,https://websummit.com/appearances/lis25/fad186f8-d7e5-47c5-aba8-02e7e227540b/datadog,,,2025,
Groq,AI & machine learning,,https://websummit.com/appearances/lis25/835aabd4-32f6-4fe6-bcbe-7e47d56c8bec/groq,,,2025,
Atlassian,SaaS,,https://websummit.com/appearances/lis25/7a829d3e-752e-4487-81d7-4b805eed1ed6/atlassian,,,2025,
Mozilla Ads,"Advertising, content & marketing",,https://websummit.com/appearances/lis25/a1797c4b-6a73-4af2-bb68-afc10eddf3a8/mozilla-ads,,,2025,
Qualcomm,AI & machine learning,,https://websummit.com/appearances/lis25/8dd3c750-43ae-4d64-9714-c7e288245a39/qualcomm,,,2025,
Alibaba Cloud,AI & machine learning,,https://websummit.com/appearances/lis25/fbde7a63-aed9-4b9e-a387-a5d84cdd74da/alibaba-cloud,,,2025,
Ampere,"Industrials, manufacturing & consumer goods",,https://websummit.com/appearances/lis25/f5008549-1dce-45b3-80cb-1afa4af7fd93/ampere,,,2025,
KPMG,Legal & professional services,,https://websummit.com/appearances/lis25/5448f07e-9e42-425c-b668-2d1d7f562b0d/kpmg,,,2025,
Revolut People,HR & recruitment,,https://websummit.com/appearances/lis25/bae85ee2-7f4f-4301-a96a-b514bac459aa/revolut-people,,,2025,
Akamai Technologies,Telecommunications & IT,,https://websummit.com/appearances/lis25/6127fcac-cba7-4ef2-8478-22a4273b8366/akamai-technologies,,,2025,
1Password,SaaS,,https://websummit.com/appearances/lis25/e148c465-7aa5-427e-b575-7f29e8eafdaf/1password,,,2025,
Picsart,"Advertising, content & marketing",,https://websummit.com/appearances/lis25/a5657034-fa20-4fc8-b14d-c4b015fb9981/picsart,,,2025,
Vercel,SaaS,,https://websummit.com/appearances/lis25/4b4e4bcb-b6c6-41a4-b05d-062314499fac/vercel,,,2025,
Sumup,Fintech & financial services,,https://websummit.com/appearances/lis25/7e00aa8c-861e-48a9-9d7a-51ff61979e8b/sumup,,,2025,
Plaud Inc.,AI & machine learning,,https://websummit.com/appearances/lis25/7ef9fcb6-0ee2-424b-9f36-5de123b89a27/plaud-inc.,,,2025,
