Company,Website,CEO,CTO,Nationality (Company),Description,Category,Round Type,Amount Raised,Amount Raised (USD),Date Raised,Investors,Source URL,Source
Digital Asset,https://www.digitalasset.com,,,,,Infrastructure,Undisclosed,$355.00M,355000000,2026-06-11,"Andreessen Horowitz(a16z), Coinbase Ventures, Liberty City Ventures",https://www.coincarp.com/fundraising/digital-asset/digital-asset-undisclosed/,CoinCarp
Neura AI,https://www.neura.ai,,,,,"Infrastructure, AI/ML",Strategic,Undisclosed,,2026-06-09,"Animoca Brands, Basics Capital, Mario Nawfal",https://www.coincarp.com/fundraising/neura-ai/neura-ai-strategic/,CoinCarp
XEFFY,,,,,,DeFi,Private,$15.00M,15000000,2026-06-05,,https://www.coincarp.com/fundraising/xeffy/xeffy-private/,CoinCarp
JPYC,https://jpyc.jp,,,,,Stablecoin,Series B,$17.62M,17620000,2026-04-20,"Metaplanet Holdings, i-nest Capital",https://www.coincarp.com/fundraising/jpyc/jpyc-series-b2/,CoinCarp
CAEX,,,,,,CEX,Undisclosed,Undisclosed,,2026-04-10,"OKX Ventures, Hashkey Capital",https://www.coincarp.com/fundraising/caex/caex-undisclosed/,CoinCarp
finrob,,,,,,Finance/Banking,Seed,$3.90M,3900000,2026-02-25,"Maven 11 Capital, Placeholder, Archetype",https://www.coincarp.com/fundraising/finrob/finrob-seed/,CoinCarp
Based,,,,,,"DeFi, Infrastructure",Series A,$11.50M,11500000,2026-02-23,"Pantera Capital, Coinbase Ventures, Wintermute",https://www.coincarp.com/fundraising/basedapp/basedapp-series-a/,CoinCarp
YOAKE,,,,,,NFT,Strategic,$3.20M,3200000,2026-02-13,Sony Innovation Fund,https://www.coincarp.com/fundraising/yoake/yoake-strategic/,CoinCarp
Record,,,,,,Other,Undisclosed,$3.20M,3200000,2026-02-13,Sony Innovation Fund,https://www.coincarp.com/fundraising/record/record-undisclosed/,CoinCarp
Rate Arbitrage Nexus,,,,,,Other,Strategic,Undisclosed,,2026-02-12,Castrum Capital,https://www.coincarp.com/fundraising/rate-arbitrage-nexus/rate-arbitrage-nexus-strategic/,CoinCarp
TenX,https://www.tenx.tech,,,,,"Payments, Wallet",Undisclosed,$22.00M,22000000,2025-12-10,,https://www.coincarp.com/fundraising/tenx/tenx-undisclosed/,CoinCarp
