Conference,Name,Title,Company / Organization,Presenting Virtually,Photo URL,Source Page
2026 Toronto,Don Tapscott,Executive Chairman & CEO,Blockchain Research Institute (BRI),,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d905cec44c06b17da61ebe_DonTapscott2_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Staci Warden,CEO,Algorand Foundation,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90e0037dd537da9aacf6c_StaciWarden_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Ethan Buchman,CEO & Co-Founder,Informal Systems / Cycles; Cosmos,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d908b15cc779564e226d2d_EthanBuchman_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Nick Spanos,Blockchain Pioneer,"Founder, Bitcoin Center NYC",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90d2a2eb969a0ffaea904_NickSpanos_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Charles Hoskinson,CEO & Founder,Input | Output,Yes,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d9045de0d46ed84ffb576d_CharlesHoskinson_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,"James Stephens, CBE CCFI",Founder & CEO,Krown Technologies Inc.,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69e23c33ec48146bf551b779_JamesStephnes_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Simon,Lead,Superteam Canada,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90df0cddf5df0e4d93381_Simon_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Michael Sanders,"Sr. Director, Partnerships & Investor Relationships",Polygon,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90c1f355c63945e1fff7b_MichaelSanders_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Ada Vaughan,Senior Director of DeFi Partnerships,Stellar Development Foundation,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d8fe7666e96e5a4d321aee_Untitled%20design%20(35).webp,https://futuristconference.com/speakers
2026 Toronto,Chaddy Huussin,Executive Director,JPMorgan Chase & Co.,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d9009bb9d091125b687c93_Untitled%20design%20(32).webp,https://futuristconference.com/speakers
2026 Toronto,Tyler Spalding,President,Acronym Foundation,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90ecd9bb7360e13bc0401_TylerSpalding_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Eric Turner,CEO,Messari,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d908534a106c00f5280d04_EricTurner_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Naveen Maher,Chief Compliance Officer & Head of Regulatory Compliance,WonderFi,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6a0741c1603521f45bc00868_NaveenMaher_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Roger Huang,Contributor & Author,Forbes; Bitcoin Magazine Books,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90db5eb950b910f81603b_RogerHuang_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Trevor Koverko,Co-Founder,Sapien,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90ec0685629bcc0597263_TrevorKoverko_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Janet Adams,Board Member,Artificial Superintelligence Alliance,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d909059b4cebb2dd46979c_JanetAdams_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Kevin Liu,Co-Founder,"Metis; Core Contributor, GOAT Network",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90b0d4547b3c7884ea59c_KevinLiu_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Tanya Woods,Head of Government and Regulatory Affairs and Policy Counsel,Questrade Financial Group,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90e9c9bb7360e13bbfa29_TanyaWoods_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Jaime Leverton,CEO,ReserveOne,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d908cd1957bbc84d8aaaf3_JaimeLeverton_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Ben Greenberg,Developer Relations Lead,Arbitrum Foundation,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69de341ba1c350924f6e2d26_BenGreenberg_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Lisa Loud,Executive Director,Secret Network,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90bddea65843d1bd5480d_LisaLoud_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Richard Carleton,"CEO, Canadian Securities Exchange","Non-executive Chair, Tetra Digital; Board Member, Blue Ocean Technologies",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90d9c16722774c86424fd_RichardCarleton_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Sam Bourgi,Senior News Editor,Cointelegraph,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90dcbbb8fdd1362dde4fe_SamBourgi_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Alejandra Dito,Director Global Partnerships Digital Assets & Blockchain,Mastercard,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69ea274f1efbe3d36096a8b4_AlejandraDito_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Mitchell Amador,Founder & CEO,Immunefi,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90c9997c44e05c1a397ee_MitchellAmador_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Aoyon Ashraf,Global Head of News,CoinDesk,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69de33588b84c79b2aa2d583_AoyonAshraf_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Nisrine Labcir,Innovation Lead,Interac Corp.,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69fbbd17870caaebc6ab9db3_NisrineLabcir_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Colin Sinclair,Chief Business Officer,Nirvana Finance,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69db0d47d11a3f32e9473bc1_ColinSinclair_SpeakerWebsite2026.png,https://futuristconference.com/speakers
