name,org,track,social
NOID,KRAKEN,Built on Ethereum,https://x.com/__noided
FREDRIK HAGA,DUNE,RWA Tokenisation,https://www.x.com/hagaetc
FAUSTINE FLEURET,MORPHO,Regulation & Compliance,https://www.linkedin.com/in/faustine-fleuret-640b67a4/?originalSubdomain=fr
MARIA MAGENES,"SPAGHETTETH, HYPE",Product & Marketers,https://x.com/mariamagenes1
ANTONIO SANSO,ETHEREUM FOUNDATION,Applied cryptography,https://x.com/asanso
CHEEKY-GORILLA,PROTOCOL GUILD,Core Protocol,https://x.com/ProtocolGuild
JOSEF JELACIC,OWN,DeFi,https://x.com/josefje
JAMES WO,DIGITAL FINANCE GROUP (DFG),DeFi,https://x.com/realjameswo
ALEX CUTLER,AERODROME FINANCE / DROMOS LABS,DeFi,https://x.com/wagmiAlexander
KITE LIU,UNISWAP LABS,DeFi,https://x.com/kiteliudingyue
PAUL BRODY,ENTERPRISE ETHEREUM ALLIANCE,Cypherpunk & Privacy,https://www.linkedin.com/in/pbrody/
CHRIS YIN,PLUME NETWORK,RWA Tokenisation,https://x.com/chriseyin
E.G.,INFURA/DIN,AI Agents and Automation,https://x.com/egalano
ANDREW O'NEILL,S&P GLOBAL RATINGS,DeFi,https://www.linkedin.com/in/andrew-o-neill-cfa-954326a1
EVGENY PONOMAREV,FLUENCE,I don't know where I fit,https://www.linkedin.com/in/evgenyponomarev/
JUAN DAVID MENDIETA,KEYROCK,DeFi,https://www.linkedin.com/in/davidmendieta/
DAVID WACHSMAN,WACHSMAN,RWA Tokenisation,https://www.linkedin.com/in/davidwachsman/
RAZA ZAIDI,SCROLL,Stablecoins & Global Payments,https://x.com/razacodes
JAKE RO,BITGO,DeFi,https://www.linkedin.com/in/itisjake
RÉMI,LAGOON.FINANCE,DeFi,https://x.com/remilm
JONATHAN HAN,EULER LABS,RWA Tokenisation,https://www.linkedin.com/in/jonathan-h-92570279
YANIV TAL,GEO,I don't know where I fit,https://www.linkedin.com/in/yanivtal9/
JUSTIN KUGEL,WORLD LIBERTY FINANCIAL,Stablecoins & Global Payments,https://x.com/worldlibertyfi
SEBASTIAN WIDMANN,KOMAINU,Regulation & Compliance,https://www.linkedin.com/in/sebastianwidmann/
TERENCE TSAO,OFFCHAIN LABS,Core Protocol,https://x.com/terencechain
DEE_CENTRALIZED,WALLETCONNECT,Product & Marketers,https://www.linkedin.com/in/dayanaaleksandrova/
STRAUSSES,IMMUNEFI,Security,https://x.com/Straus_fm
JACK SPALLONE,MEMORY PROTOCOL,Built on Ethereum,https://x.com/jackspallone
SHEALTIELANZ,SIGMA PRIME,Security,https://x.com/shealtielanzz
DECLAN FOX,LINEA,Layer 2s,https://x.com/DeclanFox14
JOAN ALAVEDRA,OPENFORT,Cypherpunk & Privacy,https://x.com/joalavedra
