id,name,slug,tier,edition,tier_raw,description,website,logo_url,logo_alt,createdAt,updatedAt,publishedAt
100,Kryptosphere,sponsor-8,Community Partners,EthCC[9],Community Partners,,https://kryptosphere.org/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Black_text_6303aa5986.png,,2025-06-23T14:16:07.636Z,2026-01-28T16:07:43.865Z,2025-06-23T14:16:09.746Z
129,EthStaker,sponsor-35,Community Partners,EthCC[9],Community Partners,,,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/logo_blue_05af37e42f.svg,,2026-01-28T16:31:06.962Z,2026-01-28T16:35:34.769Z,2026-01-28T16:35:34.765Z
131,Token Engineering,sponsor-37,Community Partners,EthCC[9],Community Partners,,,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/TE_Academy_Black_and_white_logo_with_text_1_b03a2becc8.svg,,2026-01-29T10:21:12.567Z,2026-02-26T19:48:40.929Z,2026-01-29T10:21:13.797Z
132,Money 20/20,sponsor-38,Community Partners,EthCC[9],Community Partners,,,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/m20eu26_black_with_yr_9aa3c35cd0.png,,2026-01-29T10:23:07.587Z,2026-01-29T10:23:08.662Z,2026-01-29T10:23:08.657Z
152,DLT Talents Alumni,sponsor-56,Community Partners,EthCC[9],Community Partners,,,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/DLT_Talent_Alumni_logo_pink_2_763ccb5329.png,,2026-03-01T16:53:57.538Z,2026-03-01T16:53:59.172Z,2026-03-01T16:53:59.168Z
164,Babylon,sponsor-67,Community Partners,EthCC[9],Community Partners,,https://babylonlabs.io/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/babylon_full_lockup_full_lockup_black_5f87335e3a.png,,2026-03-09T13:19:18.240Z,2026-03-09T13:19:19.301Z,2026-03-09T13:19:19.295Z
165,Bridge,sponsor-68,Community Partners,EthCC[9],Community Partners,,https://www.bridge.xyz/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Bridge_Stripe_dark_044d6cdf51.png,,2026-03-09T13:19:58.880Z,2026-03-09T13:19:59.759Z,2026-03-09T13:19:59.755Z
166,Chainlink,sponsor-69,Community Partners,EthCC[9],Community Partners,,https://chain.link/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Chainlink_Logo_Black_c59e52d10b.png,,2026-03-09T13:20:35.874Z,2026-03-09T13:20:36.775Z,2026-03-09T13:20:36.771Z
167,Maple,sponsor-70,Community Partners,EthCC[9],Community Partners,,https://maple.finance/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Maple_Logo_black_8c6886dbe1.png,,2026-03-09T13:21:13.274Z,2026-03-09T13:21:14.090Z,2026-03-09T13:21:14.087Z
172,Women Leading the Way,sponsor-75,Community Partners,EthCC[9],Community Partners,,https://www.drofa-ra.com/insider/women-leading-the-way-empowering-fintech-leadership-at-token2049,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/WLTW_logo_eb8f4f6084.png,,2026-03-11T19:06:24.797Z,2026-03-11T19:06:25.647Z,2026-03-11T19:06:25.634Z
