tier,name,website,description
DIAMOND SPONSORS,Wonderland,https://wonderland.xyz/,"crypto's leading core development group — long-term collaborators behind Optimism, Aztec, Aerodrome"
RUBY SPONSORS,Tangem,https://tangem.com/en/,"radically simple and secure ways for anyone to own, access, and use their digital assets"
RUBY SPONSORS,Pharos,https://www.pharos.xyz/,"inclusive financial layer 1 for RealFi, where real value and institutional grade assets are accessible"
RUBY SPONSORS,Cake Wallet,https://cakewallet.com/?utm_source=ethcc&utm_medium=web&utm_campaign=sponsor,"secure, seamless, and reliable way to store, send, and exchange crypto with confidence"
RUBY SPONSORS,Trezor,https://trezor.io/,Creators of the world's first hardware wallet. Setting the standard in crypto security since 2013
RUBY SPONSORS,World,https://world.org/,"Universal proof of human, finance and connection for every human"
RUBY SPONSORS,Lido,https://lido.fi/,Staking made easy
RUBY SPONSORS,Latitude SH,https://www.latitude.sh/,most Web3-friendly compute platform available today
RUBY SPONSORS,Canton,https://www.canton.network/,Privacy-first public network for regulated financial markets
RUBY SPONSORS,Forge,https://www.sgforge.com/,issues USD & EUR Coinvertible MiCA-compliant stablecoins
RUBY SPONSORS,Aztec,https://aztec.network/,leading privacy-first Layer 2 on Ethereum
RUBY SPONSORS,TRON,https://tron.network/,Agentic AI Payment Infrastructure
RUBY SPONSORS,AAVE,https://aave.com/,Powering all global finance
RUBY SPONSORS,Gnosis,https://www.gnosis.io/,full-stack ecosystem bridging decentralised technology with everyday finance
RUBY SPONSORS,Ledger,https://www.ledger.com/,Hardware wallets for secure digital asset self-custody
EMERALD SPONSORS,Walrus Foundation,https://www.walrus.xyz/,Verifiable Data Platform for AI and onchain finance
EMERALD SPONSORS,Yap Global,https://yapglobal.com/,financial and technology PR consultancy for digital assets sectors
EMERALD SPONSORS,Quicknode,https://www.quicknode.com/,enterprise-grade blockchain platform
EMERALD SPONSORS,xStocks,https://xstocks.fi/,Tokenized Stocks and ETFs
SAPPHIRE SPONSORS,Defisaver,https://defisaver.com/,all-in-one management tool for decentralized finance
SAPPHIRE SPONSORS,Merkl,https://merkl.xyz/,leading incentive and points management platform
SAPPHIRE SPONSORS,Zircuit,https://www.zircuit.com/,Safe Haven for Onchain Finance
SAPPHIRE SPONSORS,Envio,https://envio.dev/,"modern, multi-chain EVM blockchain indexer"
SAPPHIRE SPONSORS,Plexus,https://plexusrs.com/,Global leaders in Crypto recruitment
SAPPHIRE SPONSORS,ivault,https://ivault.io/,Web3 app for peer-to-peer sharing of Real World Assets
SAPPHIRE SPONSORS,Monerium,https://monerium.com/,Use fiat across banks and blockchains
SAPPHIRE SPONSORS,Etherlink,https://www.etherlink.com/,EVM-compatibility layer for Tezos
SAPPHIRE SPONSORS,Chain Patrol,https://chainpatrol.com/,Real-time security for web3 brands
SAPPHIRE SPONSORS,Dedaub,https://dedaub.com/,"Uncover. Secure. Trust"
SAPPHIRE SPONSORS,Nethermind,https://www.nethermind.io/,builds and secures core Ethereum infrastructure
SAPPHIRE SPONSORS,Ambire,https://www.ambire.com/,Web3 wallet that just works
SAPPHIRE SPONSORS,Nexus Mutual,https://nexusmutual.io/,first crypto insurance alternative
SAPPHIRE SPONSORS,Oasis,https://oasis.net/,Privacy and verifiability layer for any application
SAPPHIRE SPONSORS,Santiment,https://santiment.net/,from intelligence to reputation with Play
SAPPHIRE SPONSORS,Veridise,https://veridise.com/,Hardening blockchain security with Formal Methods
SAPPHIRE SPONSORS,The Graph,https://thegraph.com/,blockchain data solution for 80+ chains
SAPPHIRE SPONSORS,ZisK,https://zisk.technology/,open-source zkVM toolstack
SAPPHIRE SPONSORS,"f(x) Protocol",https://fx.aladdin.club/,The End of Liquidations
